Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
"","","","",""
"","","","",""
K031,411681,119212.00,(n/a),0.00
K032,411682,92726.00,(n/a),0.00
K033,411683,118879.00,(n/a),0.00
K035,411684,93114.00,(n/a),0.00
K037,411685,70200.00,(n/a),0.00
"","","","",""
"","","","",""
K040,411688,50625.00,(n/a),0.00
K041,411689,31825.00,(n/a),0.00
K043,411690,73264.00,(n/a),0.00
K044,411691,24392.00,(n/a),0.00
K031,412573,119354.00,(n/a),0.00
K032,412665,92772.00,(n/a),0.00
K032,412851,92772.00,(n/a),0.00
"","","","",""
K032,413246,93110.00,93286.00,-176.00
K033,414428,118887.00,(n/a),0.00
K033,414433,119227.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
K027,422536,237434.00,(n/a),0.00
K031,422539,"",119262.00,-119262.00
K032,422547,93673.00,93286.00,387.00
"","","","",""
K033,422553,119689.00,119449.00,240.00
K035,422555,94013.00,(n/a),0.00
"","","","",""
K037,422565,70802.00,(n/a),0.00
K037,422567,71025.00,(n/a),0.00
K037,422568,71341.00,(n/a),0.00
"","","","",""
"","","","",""
K038,424547,69694.00,(n/a),0.00
K038,424551,69927.00,(n/a),0.00
"","","","",""
K039,424559,81751.00,(n/a),0.00
K039,424562,81974.00,(n/a),0.00
K039,424567,82292.00,(n/a),0.00
K039,424571,82776.00,(n/a),0.00
"","","","",""
K040,426361,51788.00,(n/a),0.00
"","","","",""
K043,426373,73867.00,(n/a),0.00
"","","","",""
K043,426381,74410.00,(n/a),0.00
"","","","",""
K044,426389,24865.00,(n/a),0.00
