Truck,Date,Income,Contribution,Kms,Blackout Status
343090,2015-02-23,"R9,126.50","R1,847.76",397,Yes
343091,2015-02-23,"R7,915.77","R1,602.63",235,No
343092,2015-02-23,"R7,915.77","R1,602.63",235,Yes
444078,2015-02-23,"R7,915.77","R1,602.63",235,No
444079,2015-02-23,"R7,915.77","R1,602.63",235,Yes
444080,2015-02-23,"R7,915.77","R1,602.63",235,Yes
444081,2015-02-23,"R7,915.77","R1,602.63",235,Yes
D563,2015-02-23,"R8,883.05","R1,798.47",322,Yes
D564,2015-02-23,"R8,883.05","R1,798.47",322,Yes
D565,2015-02-23,"R8,594.23","R1,740.00",333,Yes
D566,2015-02-23,"R8,797.31","R1,781.11",358,Yes
D567,2015-02-23,"R8,797.31","R1,781.11",358,Yes
D568,2015-02-23,"R9,982.26","R2,021.02",458,Yes
Z08A,2015-02-23,"R9,126.50","R1,847.76",397,Yes
Z08B,2015-02-23,"R9,126.50","R1,847.76",397,No
Z09A,2015-02-23,"R9,126.50","R1,847.76",397,Yes
Z09B,2015-02-23,"R9,126.50","R1,847.76",397,Yes
Z11A,2015-02-23,"R9,126.50","R1,847.76",397,Yes
Z11B,2015-02-23,"R9,126.50","R1,847.76",397,Yes
Z13A,2015-02-23,"R6,963.42","R1,409.82",283,Yes
Z32,2015-02-23,"R6,963.42","R1,409.82",283,No
Z34,2015-02-23,"R9,126.50","R1,847.76",397,Yes
Z35,2015-02-23,"R9,126.50","R1,847.76",397,Yes
Z36,2015-02-23,"R6,963.42","R1,409.82",283,Yes
