Truck,FM ID,Primary Fleet,Function Code,Date,Income,Contribution,Kms,Blackout Status
444001,5382,PPC - Heriotdale,301,2015-08-16,R0.00,R0.00,0,Yes
444002,5383,PPC - Heriotdale,301,2015-08-16,R0.00,R0.00,0,Yes
545218,5155,PPC - Heriotdale,301,2015-08-16,R0.00,R0.00,0,Yes
545221,5149,PPC - Heriotdale,301,2015-08-16,R0.00,R0.00,0,No
545222,5150,PPC - Heriotdale,301,2015-08-16,R0.00,R0.00,0,No
545223,5151,PPC - Heriotdale,301,2015-08-16,R0.00,R0.00,0,Yes
545226,5152,PPC - Heriotdale,301,2015-08-16,R0.00,R0.00,0,Yes
545227,5153,PPC - Heriotdale,301,2015-08-16,R0.00,R0.00,0,No
644258,5156,PPC - Heriotdale,301,2015-08-16,R0.00,R0.00,0,Yes
644259,5157,PPC - Heriotdale,301,2015-08-16,R0.00,R0.00,0,Yes
D621,377,PPC - Consolidated,"",2015-08-16,R0.00,R0.00,0,Yes
E41,337,PPC - Heriotdale,301,2015-08-16,R0.00,R0.00,0,Yes
T2875,5159,PPC - Heriotdale,301,2015-08-16,R0.00,R0.00,0,Yes
T2899,5161,PPC - Heriotdale,301,2015-08-16,R0.00,R0.00,0,No
T2924,5162,PPC - Heriotdale,301,2015-08-16,R0.00,R0.00,0,Yes
T2948,5163,PPC - Heriotdale,301,2015-08-16,R0.00,R0.00,0,Yes
T2950,5164,PPC - Heriotdale,301,2015-08-16,R0.00,R0.00,0,Yes
