Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
T021,4001,T24 - Revenue - Howick Adhoc,40.000,"",2015-09-20,"R7,708.59","R1,387.55",450,Yes
T022,4002,T24 - Revenue - Howick Adhoc,40.000,"",2015-09-20,"R7,708.59","R1,387.55",450,Yes
T025,4003,T24 - Revenue - Howick Adhoc,40.000,"",2015-09-20,"R7,708.59","R1,387.55",450,Yes
T037,4004,T24 - Revenue - Howick Adhoc,40.000,"",2015-09-20,"R7,708.59","R1,387.55",450,Yes
T047,4005,T24 - Revenue - Howick Adhoc,40.000,"",2015-09-20,"R7,708.59","R1,387.55",450,Yes
T153,5561,T24 - Revenue - Howick Adhoc,40.000,"",2015-09-20,"R8,609.25","R1,549.67",500,Yes
T154,5575,T24 - Revenue - Howick Adhoc,40.000,"",2015-09-20,"R8,609.25","R1,549.67",500,Yes
