Truck,FM ID,Primary Fleet,Function Code,Date,Income,Contribution,Kms,Blackout Status
D01,1272,RE - Denver,"",2015-08-07,"R2,234.66",R191.40,104,Yes
D08,1280,RE - Denver,"",2015-08-07,"R3,213.18",R285.37,241,Yes
D10,1282,RE - Denver,"",2015-08-07,"R4,500.86",R395.78,257,Yes
D11,1283,RE - Denver,"",2015-08-07,"R2,670.66",R282.97,132,Yes
D17,1277,RE - Denver,"",2015-08-07,"R4,370.30",R480.34,248,Yes
D18,1289,RE - Denver,"",2015-08-07,"R4,134.05",R419.47,242,Yes
D19,1290,RE - Cape,"",2015-08-07,"R3,272.95",R430.11,111,Yes
D20,1291,RE - Denver,"",2015-08-07,"R4,060.54",R419.47,214,Yes
D23,1294,RE - Denver,"",2015-08-07,"R4,313.74",R430.11,242,Yes
D584,30097,RE - KZN,"",2015-08-07,"R2,322.98",R284.01,70,Yes
D634,30712,RE - Denver,"",2015-08-07,"R4,370.08",R572.84,161,Yes
D635,30713,RE - Denver,"",2015-08-07,"R4,370.08",R572.84,161,Yes
D636,30714,RE - Denver,"",2015-08-07,"R4,370.08",R572.84,161,Yes
D695,31074,RE - Denver,"",2015-08-07,"R4,050.83",R468.88,161,Yes
