Truck,Loading ETA,Loading Arrival,Tripleg Income,Total Kms
15,2013-05-23 14:00:00,2013-05-23 21:20:00,"65,988.00",2921
179,2013-05-24 08:00:00,2013-05-24 07:30:00,"37,808.00",2847
183,2013-05-24 08:00:00,2013-05-24 11:54:00,"69,070.77",2164
210,2013-05-24 08:00:00,2013-05-24 08:55:00,"37,972.58",2788
130,2013-05-24 08:00:00,2013-05-24 07:11:00,"37,808.00",2774
194,2013-05-22 09:00:00,2013-05-24 11:00:00,"62,494.94",1809
190,2013-05-24 08:00:00,2013-05-24 08:00:00,"27,866.59",2059
191,2013-05-24 08:00:00,2013-05-24 07:00:00,"37,808.00",2839
201,2013-05-24 08:00:00,2013-05-24 08:22:00,"37,808.00",2847
203,2013-05-24 08:00:00,2013-05-24 07:30:00,"38,040.41",2903
205,2013-05-24 10:00:00,2013-05-24 07:00:00,"65,800.00",3000
206,2013-05-24 08:00:00,2013-05-24 08:28:00,"65,988.00",3000
207,2013-05-24 08:00:00,2013-05-23 15:21:00,"66,176.00",2899
20,2013-05-24 10:00:00,2013-05-23 19:41:00,"65,800.00",3000
27,2013-05-24 08:00:00,2013-05-24 07:10:00,"37,808.00",2847
90,2013-05-24 08:00:00,2013-05-24 07:31:00,"37,808.00",2847
125,2013-05-24 13:00:00,2013-05-24 13:53:00,"2,316.38",159
