Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
M031,TNT Marine,"",2015-08-20 09:00:00,2015-08-20 09:00:00,"51,600.00",806,2015-08-20 09:12:00,700
M045,Barloworld Logistics-Equipment,"",2015-08-20 08:00:00,2015-08-20 09:00:00,40.00,2055,2015-08-20 21:31:00,2055
M048,Barloworld Logistics-Equipment,"",2015-08-20 08:00:00,2015-08-19 20:29:00,"74,653.00",745,2015-08-20 15:00:00,0
M062,Vanguard,"",2015-08-19 18:00:00,2015-08-19 17:15:00,"4,730.00",94,2015-08-20 08:30:00,54
M062,Manline Mega Truck Repositioning,"",2015-08-20 15:00:00,2015-08-20 15:00:00,0.01,86,2015-08-20 15:01:00,54
M067,Manline Mega Truck Repositioning,"",2015-08-20 15:00:00,(none),0.01,1110,(none),1110
T023,Mondi,"",2015-08-20 07:00:00,2015-08-20 06:30:00,"4,942.09",578,2015-08-20 08:16:00,164
T024,Sappi ADHOC,"",2015-08-19 22:00:00,2015-08-19 21:20:00,"7,043.23",423,2015-08-20 07:46:00,210
T037,Hans Merensky,"",2015-08-20 12:00:00,2015-08-20 12:14:00,"3,428.08",138,2015-08-20 12:51:00,90
T037,Hans Merensky,"",2015-08-20 21:00:00,2015-08-20 21:16:00,"4,089.60",188,2015-08-20 21:37:00,0
T038,Lion Match Products,"",2015-08-20 06:00:00,2015-08-20 06:50:00,"4,168.17",188,2015-08-20 08:25:00,102
T038,Lion Match Products,"",2015-08-20 15:00:00,2015-08-20 14:38:00,"9,511.47",623,2015-08-20 14:43:00,303
T040,Mondi,"",2015-08-20 07:00:00,2015-08-20 07:39:00,"4,038.74",221,2015-08-20 07:50:00,110
T040,Mondi,"",2015-08-20 15:00:00,2015-08-20 15:16:00,"4,183.38",229,2015-08-20 15:36:00,110
T042,Sappi ADHOC,"",2015-08-21 15:00:00,2015-08-20 15:50:00,"5,086.71",135,2015-08-20 16:00:00,130
T043,Sappi ADHOC,"",2015-08-20 10:00:00,2015-08-20 10:00:00,"4,955.46",251,2015-08-20 10:21:00,130
T043,Sappi ADHOC,"",2015-08-21 19:00:00,2015-08-20 19:34:00,"5,560.48",247,2015-08-20 20:00:00,130
T044,Erlo Geevers,"",2015-08-20 08:00:00,2015-08-20 08:00:00,"8,064.63",495,2015-08-20 08:10:00,56
T045,Sappi ADHOC,"",2015-08-20 11:00:00,2015-08-20 11:31:00,"5,352.41",288,2015-08-20 14:36:00,130
T046,Sappi ADHOC,"",2015-08-20 15:00:00,2015-08-20 05:43:00,"4,925.26",322,2015-08-20 06:00:00,120
T046,Sappi ADHOC,"",2015-08-20 19:00:00,2015-08-20 18:14:00,"5,608.79",160,2015-08-20 18:50:00,163
T047,Sappi,"",2015-08-20 13:00:00,2015-08-20 13:12:00,489.20,81,2015-08-20 13:28:00,41
