Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
119,Langeberg and Ashton Foods Pty Ltd F and V,"",2015-08-03 16:00:00,2015-08-03 13:09:00,"9,250.50",177,2015-08-03 15:21:00,0
122,National Brands,"",2015-08-03 18:00:00,2015-08-03 18:00:00,"12,679.79",700,2015-08-03 20:46:00,700
123,National Brands,"",2015-08-03 17:00:00,2015-08-03 14:00:00,"16,973.00",672,2015-08-03 18:00:00,672
124,Access Freight (ACC003) ZAR,"",2015-08-03 17:00:00,(none),"20,500.00",786,(none),786
248,Pannar Seeds,"",2015-08-03 13:00:00,2015-08-03 14:23:00,"12,642.56",552.4,2015-08-03 17:20:00,552.4
250,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-08-03 07:00:00,(none),"6,859.19",192,(none),192
252,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-08-03 07:00:00,(none),"5,965.74",85,(none),85
253,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-08-03 08:00:00,(none),"5,965.74",85,(none),85
254,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-08-03 07:00:00,(none),"6,608.69",162,(none),162
256,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-08-03 08:00:00,(none),"6,157.79",108,(none),108
257,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-08-03 08:00:00,(none),"6,859.19",192,(none),192
258,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-08-03 07:00:00,(none),"7,293.39",244,(none),244
259,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-08-03 07:00:00,(none),"7,293.39",244,(none),244
260,Wilmar Continental Edible Oils & Fats Pty Ltd,"",2015-08-03 07:00:00,(none),"3,536.00",142,(none),142
255,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-08-03 07:00:00,(none),"6,608.69",162,(none),162
111,Illovo Sugar Speed Fleet Noodesburg,"",2015-08-03 22:30:00,2015-08-03 21:20:00,"2,294.06",95,2015-08-03 22:25:00,100
267,Barloworld Logistics (Cement),"",2015-08-03 15:00:00,2015-08-03 14:00:00,"13,090.00",1047,2015-08-03 14:45:00,1047
128,Kempston Logistics East London,"",2015-08-03 11:00:00,(none),"9,000.00",750,(none),750
129,Langeberg and Ashton Foods Pty Ltd F and V,"",2015-08-03 06:00:00,2015-08-03 05:50:00,"5,092.50",348,2015-08-03 07:30:00,0
129,Langeberg and Ashton Foods Pty Ltd F and V,"",2015-08-03 18:00:00,2015-08-03 14:45:00,"7,171.50",0,2015-08-03 15:20:00,0
131,Illovo Sugar Speed Fleet Noodesburg,"",2015-08-03 21:00:00,2015-08-03 20:00:00,"2,294.06",94,2015-08-03 20:10:00,100
132,Illovo Sugar Speed Fleet Noodesburg,"",2015-08-03 02:00:00,2015-08-03 00:40:00,"2,419.84",115,2015-08-03 01:05:00,100
132,Illovo Sugar Speed Fleet Noodesburg,"",2015-08-03 20:30:00,2015-08-03 20:00:00,"2,419.84",95,2015-08-03 20:50:00,100
133,Langeberg and Ashton Foods Pty Ltd F and V,"",2015-08-03 06:00:00,2015-08-03 05:16:00,"5,092.50",176,2015-08-03 06:32:00,0
133,Langeberg and Ashton Foods Pty Ltd F and V,"",2015-08-03 18:00:00,(none),"7,171.50",0,(none),0
244,Langeberg and Ashton Foods Pty Ltd F and V,"",2015-08-03 06:00:00,(none),"7,171.50",0,(none),0
299,Barloworld Logistics  (Illovo),"",2015-08-03 10:00:00,2015-08-03 09:51:00,"3,860.42",173,2015-08-03 10:54:00,200
299,Barloworld Logistics  (Illovo),"",2015-08-03 17:00:00,2015-08-03 17:26:00,"3,860.42",200,2015-08-03 18:19:00,200
304,Bulk Brick Supplies,"",2015-08-03 16:00:00,2015-08-03 15:47:00,"9,500.00",730,2015-08-03 16:00:00,730
338,Access Freight (ACC003) ZAR,"",2015-08-03 07:00:00,2015-08-03 08:00:00,"53,766.00",2289,2015-08-03 10:00:00,2289
245,Pannar Seeds,"",2015-08-03 14:00:00,2015-08-03 10:10:00,"8,588.73",580,2015-08-03 10:34:00,500
268,E & C Charcoal (PTY)LTD,"",2015-08-03 08:00:00,2015-08-03 11:00:00,"12,430.16",606.6,2015-08-03 14:30:00,606.6
329,Barloworld Engen,"",2015-08-03 10:00:00,2015-08-03 09:10:00,"11,309.21",800,2015-08-03 14:10:00,800
