Truck,Date,Income,Contribution,Kms,Blackout Status
444001,2015-03-31,"R5,658.64","R1,382.88",198,Yes
444002,2015-03-31,"R5,658.64","R1,382.88",198,Yes
545220,2015-03-31,"R10,650.33","R2,602.77",378,Yes
545225,2015-03-31,"R8,728.08","R2,133.00",386,Yes
545229,2015-03-31,"R8,728.08","R2,133.00",386,Yes
644253,2015-03-31,"R10,380.66","R2,536.86",463,Yes
B60,2015-03-31,"R8,728.08","R2,133.00",386,Yes
S12075,2015-03-31,"R8,999.35","R2,199.30",398,Yes
T12037,2015-03-31,"R8,999.35","R2,199.30",398,Yes
T12051,2015-03-31,"R8,999.35","R2,199.30",398,Yes
T12063,2015-03-31,"R8,999.35","R2,199.30",398,Yes
T12087,2015-03-31,"R8,999.35","R2,199.30",398,Yes
T12136,2015-03-31,"R8,999.35","R2,199.30",398,Yes
T2900,2015-03-31,"R9,241.47","R2,258.46",334,Yes
T2912,2015-03-31,"R9,241.47","R2,258.46",334,Yes
T2962,2015-03-31,"R10,650.33","R2,602.77",378,Yes
T2974,2015-03-31,"R9,241.47","R2,258.46",334,Yes
T2986,2015-03-31,"R9,241.47","R2,258.46",334,Yes
T2998,2015-03-31,"R9,241.47","R2,258.46",334,Yes
T3001,2015-03-31,"R10,650.33","R2,602.77",378,Yes
