Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
444069,5553,Illovo - Germiston F&V,"",334,2015-09-19,"R7,211.93","R1,298.15",212,Yes
444070,9143,Illovo - Germiston F&V,"",334,2015-09-19,"R7,211.93","R1,298.15",212,Yes
444071,9146,Illovo - Germiston F&V,"",334,2015-09-19,"R7,211.93","R1,298.15",212,Yes
444072,9159,Illovo - Germiston F&V,"",334,2015-09-19,"R7,211.93","R1,298.15",212,Yes
444073,9144,Illovo - Germiston F&V,"",334,2015-09-19,"R7,211.93","R1,298.15",212,Yes
644251,5267,Illovo - Avoca,40.000,330,2015-09-19,"R5,630.37","R1,286.13",208,Yes
D550,9719,Illovo - Germiston F&V,"",334,2015-09-19,"R7,211.93","R1,298.15",212,Yes
D551,9718,Illovo - Avoca,40.000,330,2015-09-19,"R5,630.37","R1,286.13",208,Yes
D552,9717,Illovo - Avoca,40.000,330,2015-09-19,"R5,630.37","R1,286.13",208,Yes
D616,9175,Illovo - Germiston CCC,40.000,333,2015-09-19,"R16,360.28","R2,944.85",891,Yes
D617,9176,Illovo - Germiston CCC,40.000,333,2015-09-19,"R16,360.28","R2,944.85",891,Yes
D640,30586,Illovo - Avoca,40.000,330,2015-09-19,"R9,164.36","R1,541.37",487,Yes
D641,30606,Illovo - Avoca,40.000,330,2015-09-19,"R9,164.36","R1,541.37",487,Yes
D642,30587,Illovo - Avoca,40.000,330,2015-09-19,"R9,164.36","R1,541.37",487,Yes
D643,30572,Illovo - Avoca,40.000,330,2015-09-19,"R13,534.14","R2,276.33",601,Yes
D644,30573,Illovo - Avoca,40.000,330,2015-09-19,"R13,534.14","R2,276.33",601,Yes
D645,"",Illovo - Avoca,40.000,330,2015-09-19,"R13,534.14","R2,276.33",601,Yes
D646,30575,Illovo - Avoca,40.000,330,2015-09-19,"R13,534.14","R2,276.33",601,Yes
D647,30576,Illovo - Avoca,40.000,330,2015-09-19,"R13,534.14","R2,276.33",601,Yes
D648,30577,Illovo - Avoca,40.000,330,2015-09-19,"R13,534.14","R2,276.33",601,Yes
D649,30578,Illovo - Avoca,40.000,330,2015-09-19,"R13,534.14","R2,276.33",601,Yes
D650,30579,Illovo - Avoca,40.000,330,2015-09-19,"R13,534.14","R2,276.33",601,Yes
D651,30580,Illovo - Avoca,40.000,330,2015-09-19,"R13,534.14","R2,276.33",601,Yes
D652,30581,Illovo - Avoca,40.000,330,2015-09-19,"R9,164.36","R1,541.37",487,Yes
D653,30585,Illovo - Avoca,40.000,330,2015-09-19,"R9,164.36","R1,541.37",487,Yes
D654,30607,Illovo - Avoca,40.000,330,2015-09-19,"R9,164.36","R1,541.37",487,Yes
ILLOVO SUB  23283,"",Illovo Refined-Noodesburg,"",332,2015-09-19,"R14,982.85","R2,696.91",778,Yes
ILLOVO SUB 23257,"",Illovo - Avoca,40.000,330,2015-09-19,R0.07,R0.01,0,Yes
ILLOVO SUB 23259,"",Illovo - Avoca,40.000,330,2015-09-19,R0.07,R0.01,0,Yes
ILLOVO SUB 23263,"",Illovo Refined-Noodesburg,"",332,2015-09-19,"R14,982.85","R2,696.91",778,Yes
ILLOVO SUB 23265,"",Illovo Refined-Noodesburg,"",332,2015-09-19,"R14,982.85","R2,696.91",778,Yes
Illovo Sub 23271/2,"",Illovo Refined-Noodesburg,"",332,2015-09-19,"R14,982.85","R2,696.91",778,Yes
ILLOVO SUB 23289,"",Illovo Refined-Noodesburg,"",332,2015-09-19,"R14,982.85","R2,696.91",778,Yes
ILLOVO SUB 23299,"",Illovo - Avoca,40.000,330,2015-09-19,R0.07,R0.01,0,Yes
ILLOVO SUB 23301,"",Illovo - Avoca,40.000,330,2015-09-19,R0.07,R0.01,0,Yes
