Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
143001,5261,Premier Durban,"","",2015-09-02,"R8,113.79","R1,460.48",533,Yes
143002,5262,Premier Durban,"","",2015-09-02,"R8,113.79","R1,460.48",533,Yes
143003,5263,EHL - P.E,40.000,336,2015-09-02,"R3,732.53",R671.85,174,Yes
143004,5264,Premier Durban,"","",2015-09-02,"R8,113.79","R1,460.48",533,Yes
444054,5435,Tongaat Hulletts,40.000,"",2015-09-02,"R8,351.81","R1,503.33",316,Yes
444055,5429,Tongaat Hulletts,40.000,"",2015-09-02,"R8,351.81","R1,503.33",316,Yes
444056,5433,Tongaat Hulletts,40.000,"",2015-09-02,"R8,351.81","R1,503.33",316,Yes
444057,5431,Tongaat Hulletts,40.000,"",2015-09-02,"R8,351.81","R1,503.33",316,Yes
444058,5432,Tongaat Hulletts,40.000,"",2015-09-02,"R8,351.81","R1,503.33",316,Yes
444059,5434,Tongaat Hulletts,40.000,"",2015-09-02,"R8,351.81","R1,503.33",316,Yes
444060,5437,Tongaat Hulletts,40.000,"",2015-09-02,"R8,351.81","R1,503.33",316,Yes
444061,5438,Tongaat Hulletts,40.000,"",2015-09-02,"R8,351.81","R1,503.33",316,Yes
444062,5439,Tongaat Hulletts,40.000,"",2015-09-02,"R8,351.81","R1,503.33",316,Yes
444063,5440,Tongaat Hulletts,40.000,"",2015-09-02,"R8,351.81","R1,503.33",316,Yes
444064,1386,Tongaat Hulletts,40.000,"",2015-09-02,"R8,351.81","R1,503.33",316,Yes
444065,1392,Tongaat Hulletts,40.000,"",2015-09-02,"R8,351.81","R1,503.33",316,Yes
444069,5553,Illovo - Germiston F&V,"",334,2015-09-02,"R7,211.93","R1,298.15",212,Yes
444070,9143,Illovo - Germiston F&V,"",334,2015-09-02,"R7,211.93","R1,298.15",212,Yes
444071,9146,Illovo - Germiston F&V,"",334,2015-09-02,"R7,211.93","R1,298.15",212,Yes
444072,9159,Illovo - Germiston F&V,"",334,2015-09-02,"R7,211.93","R1,298.15",212,Yes
444073,9144,Illovo - Germiston F&V,"",334,2015-09-02,"R7,211.93","R1,298.15",212,Yes
525201,5205,Toyota - X Dock,40.000,327,2015-09-02,"R2,968.12",R534.26,174,Yes
538253,5192,Toyota - X Dock,40.000,327,2015-09-02,"R3,732.53",R671.85,174,No
538254,5193,Toyota - X Dock,40.000,327,2015-09-02,"R3,732.53",R671.85,174,No
