Truck,Date,Income,Contribution,Kms,Blackout Status
106,2014-04-02,"R8,569.90","R1,635.30",431,Yes
108,2014-04-02,"R10,158.02","R1,350.90",578,Yes
111,2014-04-02,"R10,158.02","R1,350.90",578,No
128,2014-04-02,"R10,158.02","R1,350.90",578,Yes
140,2014-04-02,"R10,158.02","R1,350.90",578,Yes
217,2014-04-02,"R6,894.87","R1,350.90",434,Yes
218,2014-04-02,"R6,894.87","R1,350.90",434,Yes
230,2014-04-02,"R6,894.87","R1,350.90",434,No
233,2014-04-02,"R6,894.87","R1,350.90",434,Yes
243,2014-04-02,"R6,894.87",R559.36,434,No
261,2014-04-02,"R10,158.02","R2,016.40",578,Yes
262,2014-04-02,"R10,158.02","R2,016.40",578,No
263,2014-04-02,"R10,158.02","R2,016.40",578,Yes
264,2014-04-02,"R10,158.02","R2,016.40",578,No
265,2014-04-02,"R10,158.02","R2,016.40",578,No
266,2014-04-02,"R10,158.02","R2,016.40",578,Yes
42,2014-04-02,"R6,894.87","R1,350.90",434,No
88,2014-04-02,"R6,894.87","R1,350.90",434,No
89,2014-04-02,"R6,894.87","R1,350.90",434,Yes
99,2014-04-02,"R6,894.87","R1,350.90",434,No
E55,2014-04-02,"R3,176.63",R491.75,261,Yes
