Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
corobrick-subbies,"",Corobrick - Avoca,40.000,312,2015-10-11,R0.00,R0.00,0,Yes
D624,406,Corobrick - Avoca,40.000,312,2015-10-11,R0.00,R0.00,0,Yes
D625,400,Corobrick - Avoca,40.000,312,2015-10-11,R0.00,R0.00,0,Yes
D626,402,Corobrick - Avoca,40.000,312,2015-10-11,R0.00,R0.00,0,Yes
D627,407,Corobrick - Avoca,40.000,312,2015-10-11,R0.00,R0.00,0,Yes
D628,404,Corobrick - Avoca,40.000,312,2015-10-11,R0.00,R0.00,0,Yes
D629,405,Corobrick - Avoca,40.000,312,2015-10-11,R0.00,R0.00,0,Yes
D630,401,Corobrick - Avoca,40.000,312,2015-10-11,R0.00,R0.00,0,Yes
D631,408,Corobrick - Avoca,40.000,312,2015-10-11,R0.00,R0.00,0,Yes
D632,409,Corobrick - Avoca,40.000,312,2015-10-11,R0.00,R0.00,0,Yes
D633,403,Corobrick - Avoca,40.000,312,2015-10-11,R0.00,R0.00,0,Yes
