Truck,Date,Income,Contribution,Kms,Blackout Status
105,2015-02-23,"R7,845.54","R1,648.04",445,No
107,2015-02-23,"R7,845.54","R1,648.04",445,No
116,2015-02-23,"R7,790.25",R991.88,382,Yes
117,2015-02-23,"R7,230.79",R772.79,440,No
119,2015-02-23,"R7,230.79",R772.79,440,No
120,2015-02-23,"R7,790.25",R991.88,382,No
121,2015-02-23,"R7,790.25",R991.88,382,Yes
131,2015-02-23,"R7,845.54","R1,648.04",445,No
142,2015-02-23,"R7,845.54","R1,648.04",445,No
143,2015-02-23,"R7,230.79",R772.79,440,No
144,2015-02-23,"R7,790.25",R991.88,382,No
145,2015-02-23,"R7,230.79",R772.79,440,No
146,2015-02-23,"R7,790.25",R991.88,382,Yes
267,2015-02-23,"R7,790.25",R991.88,382,Yes
268,2015-02-23,"R7,063.04",R789.75,452,No
68,2015-02-23,"R7,063.04",R789.75,452,No
83,2015-02-23,"R7,790.25",R991.88,382,Yes
84,2015-02-23,"R7,790.25",R991.88,382,Yes
85,2015-02-23,"R7,790.25",R991.88,382,Yes
86,2015-02-23,"R7,790.25",R991.88,382,No
95,2015-02-23,"R7,063.04",R789.75,452,No
96,2015-02-23,"R7,845.54","R1,648.04",445,Yes
97,2015-02-23,"R7,790.25",R991.88,382,Yes
