Truck,Date,Income,Contribution,Kms,Blackout Status
D01,2014-04-29,"R2,291.20","R1,190.12",141,Yes
D08,2014-04-29,"R2,522.97","R1,190.12",324,Yes
D09,2014-04-29,"R2,908.52","R1,190.12",253,Yes
D10,2014-04-29,"R2,918.23","R1,190.12",346,Yes
D11,2014-04-29,"R2,474.70","R1,190.12",178,Yes
D12,2014-04-29,"R2,474.70","R1,190.12",248,Yes
D17,2014-04-29,"R3,063.36","R1,190.12",334,Yes
D18,2014-04-29,"R2,827.82","R1,190.12",247,Yes
D20,2014-04-29,"R2,914.11","R1,190.12",288,Yes
D23,2014-04-29,"R2,959.88","R1,190.12",40,Yes
