Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
D656,Glencore (Dedicated),"",2015-09-29 08:00:00,(none),825.89,45,(none),30
D656,Glencore (Dedicated),"",2015-09-29 11:00:00,(none),814.02,19,(none),30
D656,Glencore (Dedicated),"",2015-09-29 15:00:00,(none),799.40,87,(none),30
D658,Glencore (Dedicated),"",2015-09-29 08:00:00,(none),810.82,44,(none),30
D658,Glencore (Dedicated),"",2015-09-29 11:55:00,(none),830.67,49,(none),34
D658,Glencore (Dedicated),"",2015-09-29 14:00:00,(none),798.03,62,(none),30
D659,Glencore (Dedicated),"",2015-09-29 08:00:00,(none),"1,570.37",98,(none),82
D659,Glencore (Dedicated),"",2015-09-29 11:00:00,(none),"1,422.73",124,(none),82
D659,Glencore (Dedicated),"",2015-09-29 15:00:00,(none),854.67,81,(none),30
D661,Glencore (Dedicated),"",2015-09-29 20:00:00,(none),778.84,18,(none),15
D661,Glencore (Dedicated),"",2015-09-29 22:00:00,(none),859.92,31,(none),34
D662,Glencore (Dedicated),"",2015-09-29 01:00:00,(none),799.40,69,(none),30
D662,Glencore (Dedicated),"",2015-09-29 03:00:00,(none),847.82,72,(none),30
D662,Glencore (Dedicated),"",2015-09-29 08:00:00,(none),873.83,57,(none),38
D662,Glencore (Dedicated),"",2015-09-29 11:00:00,(none),888.89,55,(none),38
D662,Glencore (Dedicated),"",2015-09-29 14:00:00,(none),815.57,67,(none),38
D662,Glencore (Dedicated),"",2015-09-29 16:00:00,(none),829.63,68,(none),38
D662,Glencore (Dedicated),"",2015-09-29 20:00:00,(none),817.67,22,(none),15
D662,Glencore (Dedicated),"",2015-09-29 22:00:00,(none),865.68,42,(none),34
D662,Glencore (Dedicated),"",2015-09-30 00:00:00,(none),865.20,66,(none),34
D663,Glencore (Dedicated),"",2015-09-29 02:45:00,(none),849.19,38,(none),30
D663,Glencore (Dedicated),"",2015-09-29 04:30:00,(none),812.19,51,(none),30
D663,Glencore (Dedicated),"",2015-09-29 01:05:00,(none),794.38,39,(none),30
D664,Glencore (Dedicated),"",2015-09-29 01:00:00,(none),836.42,28,(none),34
D664,Glencore (Dedicated),"",2015-09-29 03:30:00,(none),837.38,54,(none),34
D665,Glencore (Dedicated),"",2015-09-29 02:00:00,(none),833.07,28,(none),34
D665,Glencore (Dedicated),"",2015-09-29 04:00:00,(none),785.58,55,(none),34
D665,Glencore (Dedicated),"",2015-09-29 20:00:00,(none),725.40,18,(none),15
D665,Glencore (Dedicated),"",2015-09-29 22:00:00,(none),839.30,46,(none),34
D667,Glencore (Dedicated),"",2015-09-29 02:30:00,(none),833.07,34,(none),34
D667,Glencore (Dedicated),"",2015-09-29 08:00:00,(none),824.52,63,(none),30
D667,Glencore (Dedicated),"",2015-09-29 11:00:00,(none),814.93,39,(none),30
D667,Glencore (Dedicated),"",2015-09-29 14:00:00,(none),799.40,30,(none),30
D668,Glencore (Dedicated),"",2015-09-29 15:00:00,(none),"1,416.47",85,(none),82
D668,Glencore (Dedicated),"",2015-09-29 20:00:00,(none),808.08,14,(none),15
D668,Glencore (Dedicated),"",2015-09-29 22:00:00,(none),854.65,51,(none),34
D669,Glencore (Dedicated),"",2015-09-29 08:00:00,(none),"1,551.58",97,(none),82
D669,Glencore (Dedicated),"",2015-09-29 11:00:00,(none),"1,462.10",121,(none),82
D669,Glencore (Dedicated),"",2015-09-29 15:00:00,(none),849.65,73,(none),30
D669,Glencore (Dedicated),"",2015-09-29 21:00:00,(none),802.14,44,(none),30
D669,Glencore (Dedicated),"",2015-09-29 23:00:00,(none),824.52,39,(none),30
D670,Glencore (Dedicated),"",2015-09-29 00:30:00,(none),839.60,67,(none),30
D670,Glencore (Dedicated),"",2015-09-29 08:00:00,(none),819.04,38,(none),30
D670,Glencore (Dedicated),"",2015-09-29 06:00:00,(none),815.39,44,(none),30
D670,Glencore (Dedicated),"",2015-09-29 11:00:00,(none),824.07,39,(none),30
D670,Glencore (Dedicated),"",2015-09-29 15:00:00,(none),803.51,70,(none),30
D672,Glencore (Dedicated),"",2015-09-29 18:00:00,(none),824.52,45,(none),30
D672,Glencore (Dedicated),"",2015-09-29 22:00:00,(none),817.67,42,(none),30
D672,Glencore (Dedicated),"",2015-09-29 20:00:00,(none),806.25,43,(none),30
D672,Glencore (Dedicated),"",2015-09-30 00:00:00,(none),828.18,43,(none),30
D675,Glencore (Dedicated),"",2015-09-29 08:00:00,(none),"1,608.85",98,(none),82
D675,Glencore (Dedicated),"",2015-09-29 11:00:00,(none),"1,546.21",120,(none),82
D675,Glencore (Dedicated),"",2015-09-29 15:00:00,(none),"1,461.21",148,(none),82
D676,Glencore (Dedicated),"",2015-09-29 00:20:00,(none),756.46,26,(none),30
D676,Glencore (Dedicated),"",2015-09-29 02:00:00,(none),828.18,26,(none),30
D676,Glencore (Dedicated),"",2015-09-29 04:30:00,(none),861.36,52,(none),34
D676,Glencore (Dedicated),"",2015-09-29 18:00:00,(none),803.51,18,(none),15
D676,Glencore (Dedicated),"",2015-09-29 22:00:00,(none),928.03,30,(none),34
D677,Glencore (Dedicated),"",2015-09-29 01:00:00,(none),797.57,39,(none),30
D677,Glencore (Dedicated),"",2015-09-29 03:00:00,(none),832.29,89,(none),30
D677,Glencore (Dedicated),"",2015-09-29 08:00:00,(none),"1,554.27",96,(none),82
D677,Glencore (Dedicated),"",2015-09-29 15:00:00,(none),"1,532.79",155,(none),82
D677,Glencore (Dedicated),"",2015-09-29 12:00:00,(none),"1,508.63",119,(none),82
D680,Glencore (Dedicated),"",2015-09-29 08:00:00,(none),830.01,52,(none),30
D680,Glencore (Dedicated),"",2015-09-29 21:00:00,(none),"1,002.14",27,(none),44
D680,Glencore (Dedicated),"",2015-09-29 23:00:00,(none),"1,079.94",74,(none),44
D681,Glencore (Dedicated),"",2015-09-29 08:00:00,(none),897.93,57,(none),38
D681,Glencore (Dedicated),"",2015-09-29 11:00:00,(none),846.21,63,(none),38
D681,Glencore (Dedicated),"",2015-09-29 15:00:00,(none),864.29,70,(none),38
