Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
144040,406097,61436.00,61436.00,0.00
144040,406283,61974.00,61974.00,0.00
"","","","",""
144040,406317,63301.00,63301.00,0.00
144040,406321,63990.00,63989.00,1.00
144040,406325,64843.00,64862.00,-19.00
144040,408217,65713.00,65713.00,0.00
144040,408219,66406.00,66406.00,0.00
"","","","",""
144040,408224,68003.00,68003.00,0.00
144040,408475,68688.00,68776.00,-88.00
144040,408479,69304.00,69304.00,0.00
144040,408484,69993.00,69890.00,103.00
144041,408495,"",50934.00,-50934.00
144041,408498,50935.00,50934.00,1.00
144041,408500,51595.00,51595.00,0.00
144041,408502,52253.00,52253.00,0.00
"","","","",""
144041,408512,53663.00,53603.00,60.00
"","","","",""
144041,408519,55209.00,55209.00,0.00
144041,408522,56110.00,56110.00,0.00
144041,408523,56817.00,56817.00,0.00
144041,408528,57469.00,57353.00,116.00
144041,408530,58150.00,58151.00,-1.00
144042,408535,56078.00,56077.00,1.00
144042,408537,56852.00,56852.00,0.00
144042,408538,57514.00,57513.00,1.00
"","","","",""
144042,408541,58769.00,58769.00,0.00
144042,408543,59625.00,59624.00,1.00
"","","","",""
144042,408552,61093.00,61092.00,1.00
144042,408555,61863.00,61873.00,-10.00
144042,408890,62714.00,62712.00,2.00
144042,408895,63294.00,63294.00,0.00
144042,408898,63898.00,63806.00,92.00
144043,409051,53297.00,53296.00,1.00
144043,409052,54084.00,54084.00,0.00
144043,409053,54741.00,54740.00,1.00
144043,409055,55303.00,55303.00,0.00
"","","","",""
144043,409058,56866.00,56866.00,0.00
"","","","",""
144043,410460,58567.00,66852.00,-8285.00
144043,410464,59414.00,59414.00,0.00
144043,410468,60094.00,60093.00,1.00
"","","","",""
144043,410481,61395.00,61395.00,0.00
"","","","",""
"","","","",""
144045,410500,59688.00,59421.00,267.00
144045,410505,60788.00,60787.00,1.00
144045,410508,61847.00,61846.00,1.00
"","","","",""
144045,410515,64132.00,64132.00,0.00
144045,410518,65362.00,65297.00,65.00
144045,410523,66407.00,66406.00,1.00
144045,410525,67395.00,67395.00,0.00
"","","","",""
"","","","",""
144045,410532,68352.00,60787.00,7565.00
144048,410966,57779.00,57793.00,-14.00
144048,410967,59000.00,59000.00,0.00
"","","","",""
144048,410971,61422.00,61422.00,0.00
"","","","",""
144048,410974,63744.00,63714.00,30.00
"","","","",""
"","","","",""
144046,412837,56772.00,54551.00,2221.00
144046,412842,57591.00,56318.00,1273.00
144046,412845,58400.00,57126.00,1274.00
144046,412846,59221.00,57948.00,1273.00
"","","","",""
144046,412849,60497.00,59224.00,1273.00
144046,412852,61337.00,60063.00,1274.00
144046,412853,62117.00,60844.00,1273.00
144046,412854,62949.00,61675.00,1274.00
"","","","",""
144046,412857,64400.00,63127.00,1273.00
"","","","",""
144046,412865,65643.00,64370.00,1273.00
"","","","",""
144041,412871,59401.00,59287.00,114.00
144040,413523,70666.00,70666.00,0.00
144042,413528,64537.00,64532.00,5.00
"","","","",""
"","","","",""
144040,413629,72545.00,72544.00,1.00
144040,413632,73289.00,73289.00,0.00
144041,413635,59718.00,59535.00,183.00
"","","","",""
"","","","",""
"","","","",""
144042,413646,65662.00,65662.00,0.00
144042,413647,66379.00,66379.00,0.00
"","","","",""
"","","","",""
144043,413653,63083.00,62898.00,185.00
144043,413655,63739.00,63738.00,1.00
"","","","",""
144046,413664,66220.00,64944.00,1276.00
144046,413666,66840.00,65567.00,1273.00
144046,413667,68503.00,67127.00,1376.00
144048,413670,66571.00,66587.00,-16.00
144048,413672,67653.00,67653.00,0.00
"","","","",""
144040,415108,74065.00,74064.00,1.00
"","","","",""
144041,415115,62481.00,62480.00,1.00
144040,415119,74443.00,74443.00,0.00
"","","","",""
144042,415137,67854.00,67854.00,0.00
"","","","",""
"","","","",""
144040,417243,75930.00,75930.00,0.00
144040,417245,76340.00,76340.00,0.00
"","","","",""
144043,417386,65938.00,65937.00,1.00
"","","","",""
"","","","",""
144045,417540,69431.00,69430.00,1.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
144045,417979,73995.00,73995.00,0.00
"","","","",""
"","","","",""
144046,417991,70494.00,69221.00,1273.00
"","","","",""
"","","","",""
144047,418545,56605.00,56605.00,0.00
144047,418546,57723.00,58574.00,-851.00
144047,418547,58574.00,58574.00,0.00
144047,418548,59507.00,66895.00,-7388.00
"","","","",""
"","","","",""
144047,418552,62673.00,62581.00,92.00
"","","","",""
"","","","",""
144047,418557,65719.00,65719.00,0.00
144047,418558,66881.00,66895.00,-14.00
"","","","",""
144047,418561,69071.00,68539.00,532.00
"","","","",""
"","","","",""
144048,418567,70808.00,70822.00,-14.00
144048,418568,71893.00,71893.00,0.00
144043,422984,68510.00,68361.00,149.00
144043,422988,69385.00,69382.00,3.00
144043,422994,70201.00,70201.00,0.00
144043,422998,70973.00,70972.00,1.00
"","","","",""
"","","","",""
144045,423026,75981.00,75981.00,0.00
144045,423027,77043.00,77043.00,0.00
144045,423028,78156.00,78156.00,0.00
144047,423542,71064.00,71062.00,2.00
144047,423544,71622.00,71620.00,2.00
144047,423566,72432.00,72431.00,1.00
144047,423571,72937.00,72952.00,-15.00
"","","","",""
"","","","",""
"","","","",""
144043,423721,72606.00,72473.00,133.00
"","","","",""
144048,423824,74579.00,74579.00,0.00
"","","","",""
144046,423853,72684.00,71409.00,1275.00
144046,423854,73410.00,72135.00,1275.00
"","","","",""
144046,423859,74784.00,73511.00,1273.00
144046,423865,75646.00,74271.00,1375.00
144046,423869,76336.00,75063.00,1273.00
144040,423873,76917.00,76917.00,0.00
"","","","",""
"","","","",""
144040,423905,79480.00,79479.00,1.00
"","","","",""
144040,423910,81027.00,80917.00,110.00
144041,423914,64763.00,64485.00,278.00
144041,423917,65622.00,65621.00,1.00
144041,423919,65624.00,65621.00,3.00
"","","","",""
"","","","",""
144041,423927,66930.00,66928.00,2.00
144041,423928,67974.00,67973.00,1.00
144041,423929,68227.00,68101.00,126.00
"","","","",""
144043,423960,72606.00,72473.00,133.00
"","","","",""
"","","","",""
144042,424306,69414.00,69414.00,0.00
144042,424307,70202.00,69679.00,523.00
144042,424309,71788.00,71786.00,2.00
144042,424311,72478.00,71040.00,1438.00
144042,424315,73134.00,73134.00,0.00
"","","","",""
144042,424327,74707.00,74707.00,0.00
"","","","",""
"","","","",""
144048,424447,76454.00,76323.00,131.00
"","","","",""
"","","","",""
144042,424461,75378.00,75007.00,371.00
144046,425363,77712.00,76117.00,1595.00
144043,425367,73238.00,72992.00,246.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
144045,425388,80031.00,79595.00,436.00
