Cargo,Trip Number,Truck,Planned Loading Arrival,Loading Arrival,Planned Offloading Arrival,Offloading Arrival,Loading Difference (hrs),Offloading Difference (hrs),Planning Difference(hrs),Time Created,Created by,Customer
242560,194948,120,2011-09-30 16:00:00,2011-10-03 08:52:00,2011-10-10 13:00:00,2011-10-10 06:30:00,65,-5,171,27 September,Chantal van der Merwe,Duferco Steel Processing (PTY) Ltd
242561,195361,260,2011-09-30 16:00:00,2011-10-03 12:54:00,2011-10-10 10:00:00,2011-10-10 06:20:00,69,-2,171,27 September,Chantal van der Merwe,Duferco Steel Processing (PTY) Ltd
243107,196130,47,2011-09-30 16:00:00,2011-10-03 12:57:00,2011-10-10 12:00:00,2011-10-13 18:00:00,69,78,76,27 September,Chantal van der Merwe,Duferco Steel Processing (PTY) Ltd
243147,197637,223,2011-09-30 11:00:00,2011-10-01 07:00:00,2011-10-03 08:00:00,2011-10-03 06:20:00,20,0,65,30 September,Mario Dorlly,Monteagle Africa Limited
243124,194281,114,2011-09-30 07:00:00,2011-10-02 16:00:00,2011-10-03 07:00:00,2011-10-03 08:32:00,57,2,63,30 September,Mario Dorlly,Hulamin Ext (Midrand)
243539,F10050,E01,2011-09-30 19:00:00,2011-10-01 15:42:00,2011-10-01 09:00:00,2011-10-02 15:55:00,21,31,9,30 September,Cameron Singh,Engen
243544,F10048,E01,2011-10-01 16:00:00,2011-10-04 16:36:00,2011-10-02 10:00:00,2011-10-05 13:20:00,73,75,30,30 September,Cameron Singh,Engen
243545,F10046,E01,2011-10-02 19:00:00,2011-10-03 07:45:00,2011-10-03 10:00:00,2011-10-04 07:12:00,13,21,57,30 September,Cameron Singh,Engen
243391,194304,232,2011-10-01 08:00:00,2011-10-01 08:15:00,2011-10-03 08:00:00,2011-10-01 16:40:00,0,-39,44,30 September,Mario Dorlly,TDM (Pty) LTD
243510,193872,89,2011-10-01 08:00:00,2011-10-01 07:30:00,2011-10-03 08:00:00,2011-10-01 13:15:00,1,-41,21,30 September,Shaun du Preez,Tastic Rice
243508,196633,122,2011-09-30 12:00:00,2011-10-01 17:00:00,2011-10-01 08:00:00,2011-10-02 07:25:00,29,23,1,30 September,Kershan Balakistan,Illovo Sugar Speed Fleet Noodesburg
243513,196015,190,2011-09-30 14:00:00,2011-10-01 18:00:00,2011-10-01 10:00:00,2011-10-02 07:36:00,28,22,3,30 September,Kershan Balakistan,Illovo Sugar Speed Fleet Noodesburg
243571,192269,194,2011-09-30 13:00:00,2011-10-02 07:00:00,2011-10-03 07:00:00,2011-10-03 05:45:00,42,-1,2,30 September,Kershan Balakistan,Barloworld Logistics  (Illovo)
243616,194633,196,2011-09-30 20:00:00,2011-10-01 09:40:00,2011-10-03 07:00:00,2011-10-01 14:00:00,14,-41,6,30 September,Kershan Balakistan,Illovo Sugar Speed Fleet Noodesburg
