Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
143003,5263,EHL - P.E,40.000,336,2015-09-18,"R3,732.53",R671.85,174,No
525201,5205,Toyota - X Dock,40.000,327,2015-09-18,"R2,968.12",R534.26,174,No
538253,5192,EHL - Gauteng,40.000,337,2015-09-18,"R3,732.53",R671.85,174,No
538254,5193,EHL - Gauteng,40.000,337,2015-09-18,"R3,732.53",R671.85,174,Yes
538255,5194,EHL - Gauteng,40.000,337,2015-09-18,"R3,732.53",R671.85,174,Yes
538256,5195,EHL - Gauteng,40.000,337,2015-09-18,"R3,732.53",R671.85,174,No
538257,5196,EHL - Gauteng,40.000,337,2015-09-18,"R2,924.75",R526.46,167,No
545236,5069,Toyota Tsusho,"",329,2015-09-18,"R13,505.99","R4,032.37",797,Yes
545249,9722,Toyota - X Dock,40.000,327,2015-09-18,"R13,293.77","R2,392.88",841,Yes
545250,"",Toyota - X Dock,40.000,327,2015-09-18,"R13,293.77","R2,392.88",841,Yes
545251,9723,Toyota - X Dock,40.000,327,2015-09-18,"R13,293.77","R2,392.88",841,Yes
545252,9724,Toyota - X Dock,40.000,327,2015-09-18,"R13,293.77","R2,392.88",841,Yes
545253,9720,Toyota - X Dock,40.000,327,2015-09-18,"R13,293.77","R2,392.88",841,Yes
545254,"",Toyota - X Dock,40.000,327,2015-09-18,"R13,293.77","R2,392.88",841,Yes
C1,5125,Toyota Tsusho,"",329,2015-09-18,"R1,081.62",R322.93,55,Yes
C2,5126,Toyota - X Dock,40.000,327,2015-09-18,"R1,986.66",R357.60,167,Yes
C3,5127,Toyota Tsusho,"",329,2015-09-18,"R1,081.62",R322.93,55,Yes
Hire1,5217,Toyota - X Dock,40.000,327,2015-09-18,"R2,318.40",R417.31,167,Yes
Hire2,5218,Toyota - X Dock,40.000,327,2015-09-18,"R2,318.40",R417.31,167,Yes
Hire3,5219,Toyota - X Dock,40.000,327,2015-09-18,"R2,318.40",R417.31,167,Yes
IMV1,5128,Toyota Tsusho,"",329,2015-09-18,"R1,081.62",R322.93,55,Yes
IMV2,5129,Toyota Tsusho,"",329,2015-09-18,"R1,081.62",R322.93,55,Yes
IMV3,5068,Toyota Tsusho,"",329,2015-09-18,"R1,081.62",R322.93,55,Yes
