Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
D04,RE,"",2015-08-08 07:00:00,(none),"1,605.00",0,(none),0
D05,RE,"",2015-08-08 07:00:00,(none),"1,673.55",15,(none),15
D06,RE,"",2015-08-08 07:00:00,(none),"1,894.19",15,(none),15
D10,RE,"",2015-08-08 07:00:00,2015-08-08 07:00:00,"3,785.99",235,2015-08-08 07:00:00,0
D13,RE,"",2015-08-08 07:00:00,2015-08-08 07:00:00,"2,702.87",173,2015-08-08 07:00:05,15
D16,RE,"",2015-08-08 07:00:00,2015-08-08 07:00:00,"2,961.11",221,2015-08-08 07:05:00,15
D18,RE,"",2015-08-08 07:00:00,2015-08-08 07:00:00,"3,509.19",191,2015-08-08 07:00:00,0
D23,RE,"",2015-08-08 07:00:00,2015-08-08 07:00:00,"9,010.56",953,2015-08-08 07:00:00,0
D11,RE,"",2015-08-08 07:00:00,2015-08-08 07:00:00,"3,310.47",304,2015-08-08 07:00:00,20
D12,RE,"",2015-08-08 07:00:00,2015-08-08 07:00:00,"3,091.87",266,2015-08-08 07:00:05,15
D21,RE,"",2015-08-08 07:00:00,2015-08-08 07:00:00,"3,697.20",187,2015-08-08 07:00:05,0
D07,RE,"",2015-08-08 07:05:00,2015-08-08 16:10:00,"2,177.11",67,2015-08-08 16:15:00,0
D27,RE,"",2015-08-08 07:00:00,2015-08-08 07:00:00,"3,442.79",289,2015-08-08 07:00:05,15
D588,RE,"",2015-08-08 07:05:00,2015-08-08 16:10:00,"2,573.83",139,2015-08-08 16:15:00,0
D586,RE,"",2015-08-08 06:00:00,2015-08-08 06:00:00,"3,124.72",2,2015-08-08 06:00:00,0
D585,RE,"",2015-08-08 07:00:00,2015-08-08 07:00:00,"3,977.77",383,2015-08-08 07:00:05,15
D587,RE,"",2015-08-08 05:00:00,2015-08-08 05:00:00,"3,885.44",76,2015-08-08 05:00:00,0
D694,RE,"",2015-08-08 07:00:00,2015-08-08 07:00:00,"4,894.35",271,2015-08-08 07:00:00,0
D25,RE,"",(none),(none),"1,174.73",0,2015-08-08 00:00:00,0
D25,RE,"",(none),(none),"1,174.73",0,2015-08-09 00:00:00,0
D26,RE,"",(none),(none),"1,910.11",0,2015-08-08 00:00:00,0
D26,RE,"",(none),(none),"1,910.11",0,2015-08-09 00:00:00,0
D589,RE,"",(none),(none),"2,590.13",0,2015-08-08 00:00:00,0
D589,RE,"",(none),(none),"2,590.13",0,2015-08-09 00:00:00,0
D591,RE,"",(none),(none),"2,590.13",0,2015-08-08 00:00:00,0
D07,RE,"",(none),(none),"1,807.94",0,2015-08-09 00:00:00,0
D588,RE,"",(none),(none),"2,590.13",0,2015-08-09 00:00:00,0
D615,RE,"",(none),(none),"1,890.42",0,2015-08-09 00:00:00,0
D615,RE,"",(none),(none),"1,890.42",0,2015-08-08 00:00:00,0
D03,RE,"",(none),(none),"1,605.00",0,2015-08-08 00:00:00,0
D15,RE,"",(none),(none),"1,772.13",0,2015-08-08 00:00:00,0
D14,RE,"",(none),(none),"1,772.13",0,2015-08-08 00:00:00,0
D24,RE,"",(none),(none),"1,380.47",0,2015-08-08 00:00:00,0
D22,RE,"",(none),(none),"2,162.08",0,2015-08-08 00:00:00,0
D28,RE,"",(none),(none),"1,818.53",0,2015-08-08 00:00:00,0
D03,RE,"",(none),(none),"1,605.00",0,2015-08-09 00:00:00,0
D04,RE,"",(none),(none),"1,605.00",0,2015-08-09 00:00:00,0
D06,RE,"",(none),(none),"1,807.94",0,2015-08-09 00:00:00,0
D05,RE,"",(none),(none),"1,605.00",0,2015-08-09 00:00:00,0
D12,RE,"",(none),(none),"1,807.09",0,2015-08-09 00:00:00,0
D13,RE,"",(none),(none),"1,772.13",0,2015-08-09 00:00:00,0
D14,RE,"",(none),(none),"1,772.13",0,2015-08-09 00:00:00,0
D15,RE,"",(none),(none),"1,772.13",0,2015-08-09 00:00:00,0
D22,RE,"",(none),(none),"2,162.08",0,2015-08-09 00:00:00,0
D21,RE,"",(none),(none),"2,132.01",0,2015-08-09 00:00:00,0
D24,RE,"",(none),(none),"1,380.47",0,2015-08-09 00:00:00,0
D590,RE,"",(none),(none),"1,807.94",0,2015-08-09 00:00:00,0
D28,RE,"",(none),(none),"1,818.53",0,2015-08-09 00:00:00,0
D27,RE,"",(none),(none),"1,263.73",0,2015-08-09 00:00:00,0
D585,RE,"",(none),(none),"1,890.42",0,2015-08-09 00:00:00,0
D02,RE,"",(none),(none),"1,636.23",0,2015-08-08 00:00:00,0
D02,RE,"",(none),(none),"1,636.23",0,2015-08-09 00:00:00,0
D17,RE,"",(none),(none),"2,272.81",0,2015-08-08 00:00:00,0
D20,RE,"",(none),(none),"2,148.38",0,2015-08-08 00:00:00,0
D17,RE,"",(none),(none),"2,272.81",0,2015-08-09 00:00:00,0
D20,RE,"",(none),(none),"2,148.38",0,2015-08-09 00:00:00,0
D586,RE,"",(none),(none),"3,104.16",0,2015-08-09 00:00:00,0
D587,RE,"",(none),(none),"3,104.16",0,2015-08-09 00:00:00,0
