Truck,Date,Income,Contribution,Kms,Blackout Status
M013,2015-03-31,"R4,707.69",R614.05,277,Yes
M040,2015-03-31,"R6,960.00",R907.83,240,Yes
M041,2015-03-31,"R6,960.00",R907.83,240,No
M043,2015-03-31,"R6,960.00",R907.83,240,No
M046,2015-03-31,"R6,960.00",R907.83,240,Yes
M047,2015-03-31,"R6,960.00",R907.83,240,No
M048,2015-03-31,"R6,960.00",R907.83,240,No
M049,2015-03-31,"R6,960.00",R907.83,240,No
M050,2015-03-31,"R6,960.00",R907.83,240,No
M051,2015-03-31,"R7,061.54",R921.07,277,Yes
M052,2015-03-31,"R7,061.54",R921.07,277,Yes
M053,2015-03-31,"R6,960.00",R907.83,240,No
M055,2015-03-31,"R7,061.54",R921.07,277,Yes
M057,2015-03-31,"R6,960.00",R907.83,240,Yes
M058,2015-03-31,"R6,960.00",R907.83,240,No
M059,2015-03-31,"R7,061.54",R921.07,277,Yes
M067,2015-03-31,"R7,061.54",R921.07,277,Yes
M068,2015-03-31,"R7,061.54",R921.07,277,Yes
