Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
140267,Meadow Feeds-PE F & V,"",2015-09-22 00:00:00,2015-09-22 00:00:00,"8,721.93",357,2015-09-22 02:00:00,250
140268,Meadow Feeds-PE F & V,"",2015-09-22 00:00:00,2015-09-22 00:00:00,"6,850.37",470,2015-09-22 01:00:00,250
140268,Meadow Feeds-PE F & V,"",2015-09-22 13:00:00,2015-09-22 13:00:00,"4,501.87",195,2015-09-22 13:00:00,103
140269,Meadow Feeds-PE F & V,"",2015-09-22 00:00:00,2015-09-22 00:00:00,"4,390.85",182,2015-09-22 00:00:00,103
140269,Meadow Feeds-PE F & V,"",2015-09-23 00:00:00,(none),"5,673.15",0,(none),0
140269,Meadow Feeds-PE F & V,"",2015-09-22 08:00:00,2015-09-22 08:00:00,"5,543.75",317,2015-09-22 08:00:00,0
140270,Meadow Feeds-PE F & V,"",2015-09-22 00:00:00,2015-09-22 00:00:00,"3,904.07",125,2015-09-22 05:00:00,74.6
140270,Meadow Feeds-PE F & V,"",2015-09-23 00:00:00,(none),"6,310.23",74.6,(none),74.6
140270,Meadow Feeds-PE F & V,"",2015-09-22 12:00:00,2015-09-22 12:00:00,"4,373.77",180,2015-09-22 12:00:00,74.6
140277,Meadow Feeds-PE F & V,"",2015-09-22 00:00:00,2015-09-22 00:00:00,"7,098.03",499,2015-09-22 00:00:00,231
140277,Meadow Feeds-PE F & V,"",2015-09-22 15:00:00,2015-09-22 15:00:00,"3,673.49",98,2015-09-22 15:00:00,0
135003,Meadow Feeds-PE F & V,"",2015-09-22 00:00:00,2015-09-22 00:00:00,"5,253.39",284,2015-09-22 00:00:00,340
135003,Meadow Feeds-PE F & V,"",2015-09-23 00:00:00,(none),"6,773.61",128.86,(none),128.86
135003,Meadow Feeds-PE F & V,"",2015-09-22 14:30:00,2015-09-22 14:30:00,"5,398.57",300,2015-09-22 14:30:00,87.1
