startDate,stopDate,Truck
2015-03-19 00:00:00,2015-03-20 00:00:00,280
2015-03-19 00:00:00,2015-03-20 00:00:00,271
2015-03-19 00:00:00,2015-03-20 00:00:00,272
2015-03-19 00:00:00,2015-03-20 00:00:00,273
2015-03-19 00:00:00,2015-03-20 00:00:00,274
2015-03-19 00:00:00,2015-03-20 00:00:00,275
2015-03-19 00:00:00,2015-03-20 00:00:00,276
2015-03-19 00:00:00,2015-03-20 00:00:00,277
2015-03-19 00:00:00,2015-03-20 00:00:00,278
2015-03-19 00:00:00,2015-03-20 00:00:00,279
2015-03-19 00:00:00,2015-03-20 00:00:00,281
2015-03-19 00:00:00,2015-03-20 00:00:00,290
2015-03-19 00:00:00,2015-03-20 00:00:00,283
2015-03-19 00:00:00,2015-03-20 00:00:00,284
2015-03-19 00:00:00,2015-03-20 00:00:00,285
2015-03-19 00:00:00,2015-03-20 00:00:00,286
2015-03-19 00:00:00,2015-03-20 00:00:00,288
2015-03-19 00:00:00,2015-03-20 00:00:00,289
2015-03-19 00:00:00,2015-03-20 00:00:00,291
2015-03-19 00:00:00,2015-03-20 00:00:00,292
2015-03-19 00:00:00,2015-03-20 00:00:00,293
2015-03-19 00:00:00,2015-03-20 00:00:00,294
2015-03-19 00:00:00,2015-03-20 00:00:00,295
2015-03-19 00:00:00,2015-03-20 00:00:00,296
2015-03-19 00:00:00,2015-03-20 00:00:00,297
2015-03-19 00:00:00,2015-03-20 00:00:00,282
2015-03-19 00:00:00,2015-03-20 00:00:00,287
