Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
144040,5421,Festive,34.000,"",2015-09-06,"R5,351.62",R702.50,259,Yes
144041,5422,Festive,34.000,"",2015-09-06,"R5,351.62",R702.50,259,Yes
144042,5423,Festive,34.000,"",2015-09-06,"R5,351.62",R702.50,259,Yes
144043,5424,Festive,34.000,"",2015-09-06,"R5,351.62",R702.50,259,Yes
144045,5426,Festive,34.000,"",2015-09-06,"R5,351.62",R702.50,259,Yes
144046,5425,Festive,34.000,"",2015-09-06,"R5,351.62",R702.50,259,Yes
144047,6016,Festive,34.000,"",2015-09-06,"R5,351.62",R702.50,259,Yes
144048,6015,Festive,34.000,"",2015-09-06,"R5,351.62",R702.50,259,Yes
