Truck,Date,Income,Contribution,Kms,Blackout Status
143001,2014-06-30,"R13,300.40","R1,734.84",621,Yes
143002,2014-06-30,"R13,300.40","R1,734.84",621,Yes
143003,2014-06-30,"R13,295.53","R1,734.20",621,No
143004,2014-06-30,"R13,788.23","R1,798.46",675,Yes
144000,2014-06-30,"R8,982.28","R1,171.60",557,Yes
144002,2014-06-30,"R8,982.28","R1,171.60",557,Yes
144003,2014-06-30,"R8,982.28","R1,171.60",557,No
343053,2014-06-30,"R10,315.51",R0.00,374,Yes
343060,2014-06-30,"R8,833.40",R0.00,265,Yes
343061,2014-06-30,"R8,833.40",R0.00,265,Yes
343062,2014-06-30,"R8,833.40",R0.00,265,Yes
343063,2014-06-30,"R8,833.40",R0.00,265,Yes
343064,2014-06-30,"R8,833.40",R0.00,265,Yes
343073,2014-06-30,"R10,315.51",R0.00,374,Yes
525199,2014-06-30,"R4,662.72",R608.18,217,No
525200,2014-06-30,"R4,662.72",R608.18,217,No
525201,2014-06-30,"R3,675.77",R479.45,217,No
525250,2014-06-30,"R4,662.72",R608.18,217,No
525251,2014-06-30,"R4,662.72",R608.18,217,No
525252,2014-06-30,"R3,731.84",R486.76,208,No
538253,2014-06-30,"R12,168.15","R1,587.15",621,Yes
538254,2014-06-30,"R12,168.15","R1,587.15",621,Yes
538255,2014-06-30,"R9,891.38","R1,290.18",640,No
538256,2014-06-30,"R12,168.15","R1,587.15",621,Yes
538257,2014-06-30,"R9,891.38","R1,290.18",640,No
545217,2014-06-30,"R8,833.40",R0.00,265,No
545224,2014-06-30,"R16,677.41","R2,175.31",1052,No
545232,2014-06-30,"R14,622.39","R1,907.27",1052,No
545236,2014-06-30,"R13,568.83","R1,769.85",710,Yes
545237,2014-06-30,"R4,846.46",R0.00,71,Yes
545239,2014-06-30,"R16,677.41","R2,175.31",1052,Yes
545240,2014-06-30,"R16,677.41","R2,175.31",1052,No
545241,2014-06-30,"R16,677.41","R2,175.31",1052,No
545242,2014-06-30,"R16,677.41","R2,175.31",1052,No
644250,2014-06-30,"R4,846.46",R0.00,71,Yes
C1,2014-06-30,"R1,433.14",R186.93,67,Yes
