Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
444024,404432,94198.00,94198.00,0.00
444018,404673,104237.00,104237.00,0.00
444017,404697,105827.00,105827.00,0.00
"","","","",""
"","","","",""
444017,405076,105910.00,105910.00,0.00
444006,405107,106175.00,106175.00,0.00
"","","","",""
444024,405198,94544.00,94544.00,0.00
"","","","",""
444024,405490,94599.00,94599.00,0.00
"","","","",""
"","","","",""
"","","","",""
444024,405980,94840.00,94840.00,0.00
"","","","",""
"","","","",""
444006,406092,106634.00,106634.00,0.00
444005,406093,102286.00,102286.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
444014,406352,109189.00,109189.00,0.00
"","","","",""
444024,406439,95056.00,95056.00,0.00
444017,406491,106525.00,106525.00,0.00
444005,406728,102641.00,102641.00,0.00
444024,406729,95132.00,95132.00,0.00
444015,406731,104162.00,104162.00,0.00
444018,406752,105129.00,105129.00,0.00
"","","","",""
"","","","",""
"","","","",""
444018,406915,105403.00,105403.00,0.00
"","","","",""
"","","","",""
444018,407020,105487.00,105487.00,0.00
444017,407027,107060.00,107060.00,0.00
"","","","",""
444018,407057,105847.00,112273.00,-6426.00
444005,407416,103169.00,109759.00,-6590.00
"","","","",""
"","","","",""
444020,407694,77637.00,77509.00,128.00
444019,407888,111825.00,107262.00,4563.00
"","","","",""
"","","","",""
444018,408270,106729.00,106729.00,0.00
"","","","",""
"","","","",""
"","","","",""
444018,408301,106907.00,106907.00,0.00
444005,408307,103728.00,103728.00,0.00
444014,408455,109802.00,109802.00,0.00
444017,408673,107374.00,107239.00,135.00
"","","","",""
"","","","",""
444017,409037,107457.00,107457.00,0.00
444024,409039,96557.00,96557.00,0.00
444020,409040,77935.00,77935.00,0.00
"","","","",""
444010,409111,104291.00,110224.00,-5933.00
"","","","",""
444018,409123,107187.00,107187.00,0.00
444019,409124,111954.00,111781.00,173.00
444014,409126,110224.00,110100.00,124.00
"","","","",""
444006,409162,108033.00,108031.00,2.00
"","","","",""
444020,409180,78021.00,78021.00,0.00
"","","","",""
"","","","",""
444018,409337,107404.00,107404.00,0.00
444019,409338,112168.00,112168.00,0.00
"","","","",""
"","","","",""
444005,409557,104672.00,104546.00,126.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
444014,410134,111266.00,111266.00,0.00
"","","","",""
444017,410279,108534.00,108534.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
444005,411004,105614.00,105614.00,0.00
"","","","",""
"","","","",""
444017,411350,109008.00,109008.00,0.00
444015,411363,105831.00,106015.00,-184.00
"","","","",""
444020,411391,79097.00,78965.00,132.00
"","","","",""
444005,411394,105853.00,105853.00,0.00
"","","","",""
"","","","",""
"","","","",""
444015,411615,106289.00,106289.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
444024,411620,98000.00,97966.00,34.00
"","","","",""
444005,411834,106288.00,106288.00,0.00
"","","","",""
444015,411973,106798.00,106654.00,144.00
"","","","",""
444010,412108,106020.00,106020.00,0.00
444020,412237,80046.00,79935.00,111.00
444014,412240,112333.00,112333.00,0.00
"","","","",""
444020,412452,80157.00,80157.00,0.00
"","","","",""
"","","","",""
"","","","",""
444024,412999,98555.00,98555.00,0.00
"","","","",""
444019,413173,114245.00,114219.00,26.00
"","","","",""
"","","","",""
"","","","",""
444020,413779,80683.00,80683.00,0.00
"","","","",""
444024,413793,98686.00,98686.00,0.00
444018,413795,109690.00,109690.00,0.00
444014,413837,113218.00,113218.00,0.00
444020,413841,80768.00,80768.00,0.00
444017,413895,109884.00,109884.00,0.00
444006,413991,110570.00,110605.00,-35.00
444014,413992,113377.00,113377.00,0.00
"","","","",""
"","","","",""
"","","","",""
444014,414194,113819.00,113819.00,0.00
"","","","",""
444019,414197,114631.00,114631.00,0.00
444024,414623,99065.00,99065.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
444020,415021,81401.00,81401.00,0.00
"","","","",""
"","","","",""
"","","","",""
444017,415062,110587.00,110389.00,198.00
"","","","",""
444014,415078,114138.00,114138.00,0.00
"","","","",""
"","","","",""
444014,415587,114500.00,114500.00,0.00
444019,415589,115260.00,115266.00,-6.00
"","","","",""
"","","","",""
