startDate,stopDate,Truck
2015-03-10 00:00:00,2015-03-11 00:00:00,D03
2015-03-10 00:00:00,2015-03-11 00:00:00,D04
2015-03-10 00:00:00,2015-03-11 00:00:00,D05
2015-03-10 00:00:00,2015-03-11 00:00:00,D06
2015-03-10 00:00:00,2015-03-11 00:00:00,D13
2015-03-10 00:00:00,2015-03-11 00:00:00,D14
2015-03-10 00:00:00,2015-03-11 00:00:00,D15
2015-03-10 00:00:00,2015-03-11 00:00:00,D22
2015-03-10 00:00:00,2015-03-11 00:00:00,D21
2015-03-10 00:00:00,2015-03-11 00:00:00,D24
2015-03-10 00:00:00,2015-03-11 00:00:00,D16
