Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
ILLOVO SUB  23283,"",Illovo Refined-Noodesburg,"",332,2015-10-02,"R15,036.55","R2,255.48",781,Yes
ILLOVO SUB 23263,"",Illovo Refined-Noodesburg,"",332,2015-10-02,"R15,036.55","R2,255.48",781,Yes
ILLOVO SUB 23265,"",Illovo Refined-Noodesburg,"",332,2015-10-02,"R15,036.55","R2,255.48",781,Yes
Illovo Sub 23271/2,"",Illovo Refined-Noodesburg,"",332,2015-10-02,"R15,036.55","R2,255.48",781,Yes
ILLOVO SUB 23289,"",Illovo Refined-Noodesburg,"",332,2015-10-02,"R15,036.55","R2,255.48",781,Yes
