Truck,FM ID,Primary Fleet,Function Code,Date,Income,Contribution,Kms,Blackout Status
D01,1272,RE - Denver,"",2015-08-07,"R2,234.66",R191.40,104,Yes
D02,1273,RE - KZN,"",2015-08-07,"R2,274.13",R191.40,87,Yes
D03,1274,RE - KZN,"",2015-08-07,"R2,457.05",R168.52,168,No
D04,1275,RE - KZN,"",2015-08-07,"R2,278.51",R168.52,123,No
D05,1276,RE - KZN,"",2015-08-07,"R2,221.73",R168.52,109,No
D06,1278,RE - KZN,"",2015-08-07,"R2,297.14",R285.37,54,No
D07,1279,RE - KZN,"",2015-08-07,"R3,359.49",R285.37,252,Yes
D08,1280,RE - Denver,"",2015-08-07,"R3,213.18",R285.37,241,Yes
D10,1282,RE - Denver,"",2015-08-07,"R4,500.86",R395.78,257,Yes
D11,1283,RE - Denver,"",2015-08-07,"R2,670.66",R282.97,132,Yes
D12,1284,RE - KZN,"",2015-08-07,"R2,884.80",R282.97,184,Yes
D13,1285,RE - KZN,"",2015-08-07,"R2,765.55",R282.97,146,No
D14,1286,RE - KZN,"",2015-08-07,"R3,093.05",R282.97,209,No
D15,1287,RE - KZN,"",2015-08-07,"R3,100.49",R282.97,211,No
D16,1288,RE - KZN,"",2015-08-07,"R3,237.76",R264.52,222,Yes
D17,1277,RE - Denver,"",2015-08-07,"R4,370.30",R480.34,248,Yes
D18,1289,RE - Denver,"",2015-08-07,"R4,134.05",R419.47,242,Yes
D19,1290,RE - Cape,"",2015-08-07,"R3,272.95",R430.11,111,Yes
D20,1291,RE - Denver,"",2015-08-07,"R4,060.54",R419.47,214,Yes
D21,1292,RE - KZN,"",2015-08-07,"R3,909.50",R430.11,199,No
D22,1293,RE - KZN,"",2015-08-07,"R3,716.88",R419.47,183,No
D23,1294,RE - Denver,"",2015-08-07,"R4,313.74",R430.11,242,Yes
D24,1295,RE - KZN,"",2015-08-07,"R1,634.29",R32.86,21,Yes
D25,1299,RE - KZN,"",2015-08-07,"R2,552.10",R259.26,70,Yes
D26,1296,RE - Cape,"",2015-08-07,"R2,393.81",R269.66,70,Yes
D27,64,RE- Consolidated,"",2015-08-07,"R2,459.60",R269.66,70,No
D28,1298,RE - KZN,"",2015-08-07,"R2,266.02",R174.16,70,No
D584,30097,RE - KZN,"",2015-08-07,"R2,322.98",R284.01,70,Yes
D585,"",RE - Rental,"",2015-08-07,"R2,298.31",R284.01,70,No
D586,"",RE - KZN,"",2015-08-07,"R3,034.21",R469.24,70,Yes
D587,"",RE- Consolidated,"",2015-08-07,"R3,034.21",R469.24,70,Yes
D588,"",RE - Rental,"",2015-08-07,"R3,192.63",R598.60,70,Yes
D589,"",RE- Consolidated,"",2015-08-07,"R3,285.92",R601.42,70,Yes
D590,"",RE - Rental,"",2015-08-07,"R2,886.17",R469.24,70,Yes
D591,"",RE- Consolidated,"",2015-08-07,"R2,886.17",R469.24,70,Yes
D615,"",RE - Rental,"",2015-08-07,"R2,372.33",R284.01,70,Yes
D634,30712,RE - Denver,"",2015-08-07,"R4,370.08",R572.84,161,Yes
D635,30713,RE - Denver,"",2015-08-07,"R4,370.08",R572.84,161,Yes
D636,30714,RE - Denver,"",2015-08-07,"R4,370.08",R572.84,161,Yes
D695,31074,RE - Denver,"",2015-08-07,"R4,050.83",R468.88,161,Yes
