Truck,Loading ETA,Loading Arrival,Tripleg Income,Total Kms
16,2013-07-25 10:00:00,2013-07-24 08:30:00,"41,344.00",2832
63,2013-07-24 13:00:00,2013-07-24 12:00:00,"1,121.27",387
179,2013-07-24 12:00:00,2013-07-24 09:05:00,"22,440.00",1991
180,2013-07-24 10:00:00,2013-07-24 10:00:00,"67,170.00",2141
182,2013-07-23 10:00:00,2013-07-23 13:07:00,"29,376.00",2137
210,2013-07-24 10:00:00,2013-07-24 06:42:00,"65,800.00",2763
189,2013-07-24 15:00:00,2013-07-24 14:45:00,"22,440.00",1924
193,2013-07-23 10:00:00,2013-07-23 12:00:00,"29,773.80",765
196,2013-07-23 10:00:00,2013-07-23 12:00:00,"38,920.00",2520
202,2013-07-24 10:00:00,2013-07-24 07:12:00,"65,800.00",2840
205,2013-07-23 10:00:00,2013-07-23 12:00:00,"38,060.42",2746
206,2013-07-23 10:00:00,2013-07-23 10:58:00,"37,890.29",2827
17,2013-07-23 10:00:00,2013-07-23 10:40:00,"38,060.42",2715
19,2013-07-24 10:00:00,2013-07-24 08:00:00,"65,800.00",3075
23,2013-07-25 10:00:00,2013-07-24 08:30:00,"42,462.72",2777
27,2013-07-24 10:00:00,2013-07-24 13:00:00,"65,800.00",3078
71,2013-07-23 10:00:00,2013-07-23 11:51:00,"37,848.03",2535
92,2013-07-23 10:00:00,2013-07-23 10:50:00,"19,008.00",2083
93,2013-07-23 10:00:00,2013-07-23 10:50:00,"31,104.00",2340
249,2013-07-24 10:00:00,2013-07-24 09:00:00,"65,800.00",3001
270,2013-07-24 10:00:00,2013-07-24 06:34:00,"65,800.00",3010
