startDate,stopDate,Truck
2015-03-19 00:00:00,2015-03-20 00:00:00,T051
2015-03-19 00:00:00,2015-03-20 00:00:00,T052
2015-03-19 00:00:00,2015-03-20 00:00:00,T053
2015-03-19 00:00:00,2015-03-20 00:00:00,T123
2015-03-19 00:00:00,2015-03-20 00:00:00,T127
2015-03-19 00:00:00,2015-03-20 00:00:00,T134
2015-03-19 00:00:00,2015-03-20 00:00:00,T135
2015-03-19 00:00:00,2015-03-20 00:00:00,T054
2015-03-19 00:00:00,2015-03-20 00:00:00,T055
2015-03-19 00:00:00,2015-03-20 00:00:00,T056
2015-03-19 00:00:00,2015-03-20 00:00:00,T050
2015-03-19 00:00:00,2015-03-20 00:00:00,T057
