Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
M031,5049,Manline Mega,50.000,"",2015-10-14,"R7,606.45",R992.15,203,No
M032,5050,Manline Mega,50.000,"",2015-10-14,"R7,606.45",R992.15,203,Yes
M033,5097,Manline Mega,50.000,"",2015-10-14,"R7,606.45",R992.15,203,Yes
M034,6001,Manline Mega,50.000,"",2015-10-14,"R7,606.45",R992.15,203,Yes
M036,6004,Manline Mega,50.000,"",2015-10-14,"R4,583.87",R597.90,135,No
M037,4054,Manline Mega,50.000,"",2015-10-14,"R4,583.87",R597.90,135,No
M038,6005,Manline Mega,50.000,"",2015-10-14,"R6,303.23",R822.16,219,Yes
M039,4087,Manline Mega,50.000,"",2015-10-14,"R4,954.84",R646.28,177,Yes
M040,4088,Manline Mega,50.000,"",2015-10-14,"R4,645.16",R605.89,232,No
M041,4089,Manline Mega,50.000,"",2015-10-14,"R4,645.16",R605.89,232,No
M043,4091,Manline Mega,50.000,"",2015-10-14,"R4,645.16",R605.89,232,No
M046,4094,Manline Mega,50.000,"",2015-10-14,"R5,744.52",R749.28,205,No
M047,4095,Manline Mega,50.000,"",2015-10-14,"R4,645.16",R605.89,232,No
M048,4096,Manline Mega,50.000,"",2015-10-14,"R4,645.16",R605.89,232,No
M049,4086,Manline Mega,50.000,"",2015-10-14,"R6,612.90",R862.55,323,Yes
M050,4097,Manline Mega,50.000,"",2015-10-14,"R4,645.16",R605.89,232,No
M054,4084,Manline Mega,50.000,"",2015-10-14,"R5,032.26",R656.38,168,Yes
M056,4099,Manline Mega,50.000,"",2015-10-14,"R4,645.16",R605.89,232,No
M060,4078,Manline Mega,50.000,"",2015-10-14,"R5,032.26",R656.38,168,No
M061,4080,Manline Mega,50.000,"",2015-10-14,"R7,606.45",R992.15,203,No
M062,4081,Manline Mega,50.000,"",2015-10-14,"R7,606.45",R992.15,203,No
M063,4079,Manline Mega,50.000,"",2015-10-14,"R4,645.16",R605.89,232,No
M064,5001,Manline Mega,50.000,"",2015-10-14,"R4,954.84",R646.28,177,Yes
M065,5003,Manline Mega,50.000,"",2015-10-14,"R4,954.84",R646.28,177,No
M066,5000,Manline Mega,50.000,"",2015-10-14,"R4,954.84",R646.28,177,Yes
M067,6010,Manline Mega,50.000,"",2015-10-14,"R4,645.16",R605.89,232,No
M068,6011,Manline Mega,50.000,"",2015-10-14,"R4,645.16",R605.89,232,No
M069,30193,Manline Mega,50.000,"",2015-10-14,"R5,032.26",R656.38,168,No
M070,30186,Manline Mega,50.000,"",2015-10-14,"R4,954.84",R646.28,177,No
M071,30189,Manline Mega,50.000,"",2015-10-14,"R5,032.26",R656.38,168,Yes
M072,30185,Manline Mega,50.000,"",2015-10-14,"R4,954.84",R646.28,177,Yes
M073,30187,Manline Mega,50.000,"",2015-10-14,"R6,303.23",R822.16,219,No
M074,30192,Manline Mega,50.000,"",2015-10-14,"R6,303.23",R822.16,219,No
M075,30190,Manline Mega,50.000,"",2015-10-14,"R6,303.23",R822.16,219,No
M076,30188,Manline Mega,50.000,"",2015-10-14,"R4,954.84",R646.28,177,Yes
M077,30191,Manline Mega,50.000,"",2015-10-14,"R4,954.84",R646.28,177,Yes
