Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
M070,413000,5293.00,5868.00,-575.00
"","","","",""
"","","","",""
"","","","",""
M059,413197,65851.00,65851.00,0.00
"","","","",""
"","","","",""
M067,413255,26590.00,26590.00,0.00
"","","","",""
"","","","",""
M043,413270,70363.00,70363.00,0.00
"","","","",""
M062,413309,40663.00,40656.00,7.00
"","","","",""
M044,413345,91080.00,91080.00,0.00
M070,413348,5868.00,5868.00,0.00
"","","","",""
"","","","",""
M053,413431,80793.00,80793.00,0.00
M065,413448,52462.00,52462.00,0.00
M051,413450,75691.00,75691.00,0.00
M039,413453,54310.00,54310.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M046,413571,69152.00,69152.00,0.00
"","","","",""
M063,413684,50428.00,50428.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M076,413904,7379.00,8847.00,-1468.00
"","","","",""
"","","","",""
M042,414039,91866.00,92302.00,-436.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M076,414321,7970.00,8847.00,-877.00
"","","","",""
"","","","",""
M060,414564,55487.00,56103.00,-616.00
"","","","",""
"","","","",""
M066,414651,51048.00,51639.00,-591.00
"","","","",""
M071,414659,7303.00,8417.00,-1114.00
M071,414700,8417.00,8417.00,0.00
"","","","",""
"","","","",""
M038,414967,41694.00,41691.00,3.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M070,415102,6702.00,6702.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M042,415329,92721.00,92644.00,77.00
M046,415393,69925.00,69925.00,0.00
"","","","",""
M053,415415,82021.00,82131.00,-110.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M033,415602,77815.00,77934.00,-119.00
"","","","",""
M074,415724,10509.00,10135.00,374.00
M071,415775,9198.00,9108.00,90.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M039,416118,55525.00,56656.00,-1131.00
"","","","",""
M068,416136,31437.00,31437.00,0.00
M040,416160,82695.00,82688.00,7.00
"","","","",""
"","","","",""
"","","","",""
M072,416263,10134.00,10605.00,-471.00
"","","","",""
"","","","",""
"","","","",""
M041,416519,73593.00,73593.00,0.00
"","","","",""
"","","","",""
M039,416704,56109.00,56656.00,-547.00
M064,416705,48177.00,48718.00,-541.00
M044,416734,92869.00,93344.00,-475.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M060,416905,56119.00,56103.00,16.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M074,417759,12093.00,10135.00,1958.00
M073,417823,5061.00,6560.00,-1499.00
M069,417825,8630.00,10415.00,-1785.00
"","","","",""
M033,417874,78766.00,79360.00,-594.00
"","","","",""
"","","","",""
M063,418167,52591.00,52743.00,-152.00
"","","","",""
M032,418210,75304.00,74677.00,627.00
M053,418215,82740.00,82740.00,0.00
"","","","",""
"","","","",""
"","","","",""
M048,418329,69927.00,69927.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M059,418780,68236.00,68700.00,-464.00
M033,418892,79360.00,78645.00,715.00
"","","","",""
M064,418997,49190.00,50320.00,-1130.00
M039,418998,57124.00,58262.00,-1138.00
"","","","",""
M043,419044,72080.00,72080.00,0.00
M058,419074,79466.00,81152.00,-1686.00
M047,419085,95066.00,96697.00,-1631.00
M067,419097,27528.00,27167.00,361.00
"","","","",""
M044,419274,93816.00,94947.00,-1131.00
M057,419389,61069.00,63062.00,-1993.00
"","","","",""
"","","","",""
M042,419887,93936.00,93936.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M071,420061,9821.00,9823.00,-2.00
M043,420062,72687.00,72688.00,-1.00
"","","","",""
M069,420073,10499.00,10499.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M064,420254,50320.00,50320.00,0.00
"","","","",""
M041,420320,74862.00,74862.00,0.00
M054,420448,64928.00,64928.00,0.00
M044,420461,94947.00,94947.00,0.00
"","","","",""
"","","","",""
M063,420805,51600.00,52743.00,-1143.00
"","","","",""
M057,420961,61984.00,63062.00,-1078.00
"","","","",""
M071,420972,10405.00,10405.00,0.00
"","","","",""
"","","","",""
M045,421006,94213.00,94190.00,23.00
"","","","",""
M063,421082,52468.00,53874.00,-1406.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M074,421447,12719.00,13237.00,-518.00
"","","","",""
M077,421493,12129.00,12455.00,-326.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M065,421559,54151.00,54133.00,18.00
M075,421626,10649.00,10649.00,0.00
"","","","",""
M056,421736,78036.00,78036.00,0.00
"","","","",""
"","","","",""
"","","","",""
M047,421940,96213.00,96697.00,-484.00
M043,422011,73356.00,73331.00,25.00
"","","","",""
"","","","",""
M057,422109,62556.00,63062.00,-506.00
"","","","",""
M050,422229,93274.00,93274.00,0.00
"","","","",""
M062,422544,41935.00,41553.00,382.00
M061,422548,37806.00,37425.00,381.00
M067,422564,28170.00,28173.00,-3.00
"","","","",""
"","","","",""
"","","","",""
M060,422885,57676.00,58141.00,-465.00
"","","","",""
"","","","",""
M076,422926,10015.00,10320.00,-305.00
"","","","",""
"","","","",""
M051,422992,79262.00,81328.00,-2066.00
"","","","",""
"","","","",""
"","","","",""
M041,423016,76170.00,75505.00,665.00
M038,423046,42356.00,42356.00,0.00
"","","","",""
M042,423260,95412.00,96076.00,-664.00
M031,423264,78595.00,78374.00,221.00
M034,423269,74341.00,74062.00,279.00
"","","","",""
M073,423384,6879.00,7790.00,-911.00
M069,423471,12454.00,12074.00,380.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M071,423593,11525.00,11525.00,0.00
M058,423605,81621.00,82749.00,-1128.00
M047,423607,97165.00,98304.00,-1139.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M042,423756,96076.00,96076.00,0.00
M060,423800,58147.00,58141.00,6.00
"","","","",""
M072,423885,12912.00,12912.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M064,424256,51329.00,50899.00,430.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M052,424841,72945.00,72945.00,0.00
"","","","",""
"","","","",""
M042,425060,96233.00,96148.00,85.00
"","","","",""
"","","","",""
"","","","",""
M057,425232,64671.00,64671.00,0.00
M040,425320,84298.00,84961.00,-663.00
"","","","",""
M034,425327,75140.00,74062.00,1078.00
"","","","",""
"","","","",""
M046,425482,74091.00,74204.00,-113.00
"","","","",""
M059,425518,71701.00,71044.00,657.00
"","","","",""
"","","","",""
"","","","",""
M068,425676,33147.00,33147.00,0.00
"","","","",""
"","","","",""
M064,425697,52012.00,50899.00,1113.00
M065,425698,55836.00,54731.00,1105.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M060,426120,58771.00,58696.00,75.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M046,426283,"",74204.00,-74204.00
M042,426292,97468.00,96148.00,1320.00
M064,426319,"",50899.00,-50899.00
"","","","",""
M066,426322,"",53515.00,-53515.00
"","","","",""
M041,426413,77429.00,75505.00,1924.00
