Truck,Date,Income,Contribution,Kms,Blackout Status
125,2015-03-31,"R8,125.12",R730.52,395,No
126,2015-03-31,"R8,125.12",R730.52,395,No
135,2015-03-31,"R8,125.12",R730.52,395,No
136,2015-03-31,"R8,125.12",R730.52,395,No
137,2015-03-31,"R8,125.12",R730.52,395,No
313,2015-03-31,"R8,125.12",R730.52,395,No
314,2015-03-31,"R8,125.12",R730.52,395,No
315,2015-03-31,"R8,125.12",R730.52,395,No
317,2015-03-31,"R8,125.12",R730.52,395,No
324,2015-03-31,"R8,125.12",R730.52,395,No
325,2015-03-31,"R8,125.12",R730.52,395,No
