startDate,stopDate,Truck
2015-03-19 00:00:00,2015-03-20 00:00:00,66
2015-03-19 00:00:00,2015-03-20 00:00:00,76
2015-03-19 00:00:00,2015-03-20 00:00:00,81
2015-03-19 00:00:00,2015-03-20 00:00:00,103
2015-03-19 00:00:00,2015-03-20 00:00:00,112
2015-03-19 00:00:00,2015-03-20 00:00:00,114
2015-03-19 00:00:00,2015-03-20 00:00:00,115
2015-03-19 00:00:00,2015-03-20 00:00:00,D621
2015-03-19 00:00:00,2015-03-20 00:00:00,242
2015-03-19 00:00:00,2015-03-20 00:00:00,212
2015-03-19 00:00:00,2015-03-20 00:00:00,213
2015-03-19 00:00:00,2015-03-20 00:00:00,241
2015-03-19 00:00:00,2015-03-20 00:00:00,D623
2015-03-19 00:00:00,2015-03-20 00:00:00,221
2015-03-19 00:00:00,2015-03-20 00:00:00,223
2015-03-19 00:00:00,2015-03-20 00:00:00,227
2015-03-19 00:00:00,2015-03-20 00:00:00,231
2015-03-19 00:00:00,2015-03-20 00:00:00,234
2015-03-19 00:00:00,2015-03-20 00:00:00,68
2015-03-19 00:00:00,2015-03-20 00:00:00,299
2015-03-19 00:00:00,2015-03-20 00:00:00,303
2015-03-19 00:00:00,2015-03-20 00:00:00,304
