Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
D01,1272,RE - Denver,34.000,"",2015-09-18,"R2,295.52",R200.49,108,No
D08,1280,RE - Denver,34.000,"",2015-09-18,"R3,273.51",R298.92,249,No
D10,1282,RE - Denver,34.000,"",2015-09-18,"R4,556.10",R414.57,265,No
D11,1283,RE - Denver,34.000,"",2015-09-18,"R2,735.76",R296.41,137,No
D17,1277,RE - Denver,34.000,"",2015-09-18,"R4,435.51",R503.15,256,Yes
D18,1289,RE - Denver,34.000,"",2015-09-18,"R4,202.07",R439.39,250,No
D19,1290,RE - Denver,34.000,"",2015-09-18,"R3,351.53",R450.53,115,No
D20,1291,RE - Denver,34.000,"",2015-09-18,"R4,126.53",R439.39,221,No
D23,1294,RE - Denver,34.000,"",2015-09-18,"R4,378.42",R450.53,250,No
D584,30097,RE - Denver,34.000,"",2015-09-18,"R2,388.55",R297.50,72,No
D634,30712,RE - Denver,34.000,"",2015-09-18,"R4,461.89",R601.12,167,No
D635,30713,RE - Denver,34.000,"",2015-09-18,"R4,461.89",R601.12,167,No
D636,30714,RE - Denver,34.000,"",2015-09-18,"R4,461.89",R601.12,167,Yes
