startDate,stopDate,Truck
2015-03-19 00:00:00,2015-03-20 00:00:00,ILLOVO SUB 23277
2015-03-19 00:00:00,2015-03-20 00:00:00,ILLOVO SUB 23279
2015-03-19 00:00:00,2015-03-20 00:00:00,ILLOVO SUB 23281
2015-03-19 00:00:00,2015-03-20 00:00:00,ILLOVO SUB 23285
2015-03-19 00:00:00,2015-03-20 00:00:00,ILLOVO SUB 23291
2015-03-19 00:00:00,2015-03-20 00:00:00,ILLOVO SUB 23293
2015-03-19 00:00:00,2015-03-20 00:00:00,ILLOVO SUB 23295
2015-03-19 00:00:00,2015-03-20 00:00:00,ILLOVO SUB 23297
2015-03-19 00:00:00,2015-03-20 00:00:00,ILLOVO SUB 23299
2015-03-19 00:00:00,2015-03-20 00:00:00,ILLOVO SUB 23301
2015-03-19 00:00:00,2015-03-20 00:00:00,anglo-subbies
2015-03-19 00:00:00,2015-03-20 00:00:00,corobrick-subbies
2015-03-19 00:00:00,2015-03-20 00:00:00,BWF001
2015-03-19 00:00:00,2015-03-20 00:00:00,BWF002
2015-03-19 00:00:00,2015-03-20 00:00:00,Demo
2015-03-19 00:00:00,2015-03-20 00:00:00,Lucerne 01
2015-03-19 00:00:00,2015-03-20 00:00:00,Budmo 01
2015-03-19 00:00:00,2015-03-20 00:00:00,Budmo 02
2015-03-19 00:00:00,2015-03-20 00:00:00,Mentospex B60
2015-03-19 00:00:00,2015-03-20 00:00:00,Mentospex B61
2015-03-19 00:00:00,2015-03-20 00:00:00,Mentospex B63
2015-03-19 00:00:00,2015-03-20 00:00:00,Zembelani 009
2015-03-19 00:00:00,2015-03-20 00:00:00,Zembelani 001
2015-03-19 00:00:00,2015-03-20 00:00:00,Hestony
2015-03-19 00:00:00,2015-03-20 00:00:00,adhoc001
2015-03-19 00:00:00,2015-03-20 00:00:00,adhoc002
2015-03-19 00:00:00,2015-03-20 00:00:00,adhoc003
2015-03-19 00:00:00,2015-03-20 00:00:00,adhoc004
2015-03-19 00:00:00,2015-03-20 00:00:00,adhoc005
2015-03-19 00:00:00,2015-03-20 00:00:00,adhoc006
