Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
"","","","",""
Demo,404487,126392.00,126242.00,150.00
"","","","",""
"","","","",""
Demo,404491,127561.00,127127.00,434.00
"","","","",""
"","","","",""
Demo,404496,127967.00,127839.00,128.00
"","","","",""
"","","","",""
"","","","",""
Demo,404500,129153.00,128645.00,508.00
Demo,404501,129302.00,129303.00,-1.00
Demo,404502,129557.00,129155.00,402.00
"","","","",""
"","","","",""
Demo,404510,130508.00,130510.00,-2.00
"","","","",""
Demo,404514,130628.00,130629.00,-1.00
"","","","",""
Demo,404518,130753.00,139173.00,-8420.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
Demo,404525,131698.00,131300.00,398.00
"","","","",""
Demo,404530,131934.00,131936.00,-2.00
"","","","",""
Demo,404536,132509.00,132510.00,-1.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
Demo,404607,134239.00,134240.00,-1.00
"","","","",""
Demo,404609,134716.00,134718.00,-2.00
"","","","",""
"","","","",""
"","","","",""
Demo,404615,135862.00,135593.00,269.00
"","","","",""
"","","","",""
Demo,404618,136866.00,136868.00,-2.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
Demo,404628,138322.00,138165.00,157.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
Demo,404635,140509.00,140511.00,-2.00
"","","","",""
"","","","",""
"","","","",""
Demo,404640,141444.00,141512.00,-68.00
Demo,404641,141510.00,141029.00,481.00
Demo,404642,141938.00,142359.00,-421.00
"","","","",""
Demo,404746,142752.00,142359.00,393.00
Demo,404747,142817.00,143000.00,-183.00
"","","","",""
"","","","",""
Demo,404753,143272.00,143069.00,203.00
"","","","",""
Demo,404802,143705.00,143978.00,-273.00
Demo,404804,143976.00,143978.00,-2.00
Demo,404812,144039.00,144041.00,-2.00
Demo,404815,144312.00,143978.00,334.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
Demo,404853,146112.00,146354.00,-242.00
"","","","",""
Demo,404858,146632.00,146634.00,-2.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
Demo,404873,148056.00,148058.00,-2.00
"","","","",""
"","","","",""
Demo,404880,148701.00,148703.00,-2.00
Demo,404883,148986.00,148703.00,283.00
Demo,404890,149588.00,149860.00,-272.00
Demo,404892,149858.00,148703.00,1155.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
Demo,404923,152577.00,152579.00,-2.00
"","","","",""
Demo,404926,152869.00,152929.00,-60.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
MFR Demo 02,404975,1818.00,2018.00,-200.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
MFR Demo 02,404990,3199.00,3201.00,-2.00
"","","","",""
"","","","",""
MFR Demo 02,404996,3967.00,3986.00,-19.00
"","","","",""
MFR Demo 02,404999,4510.00,4511.00,-1.00
"","","","",""
MFR Demo 02,405002,4868.00,10281.00,-5413.00
MFR Demo 02,405003,5130.00,5132.00,-2.00
"","","","",""
"","","","",""
MFR Demo 02,405016,5955.00,5377.00,578.00
"","","","",""
"","","","",""
"","","","",""
MFR Demo 02,405025,7098.00,7098.00,0.00
"","","","",""
"","","","",""
MFR Demo 02,405028,8171.00,8173.00,-2.00
MFR Demo 02,405029,8288.00,8173.00,115.00
MFR Demo 02,405031,8492.00,8494.00,-2.00
MFR Demo 02,405032,8925.00,8289.00,636.00
"","","","",""
MFR Demo 02,405053,9443.00,8927.00,516.00
MFR Demo 02,405054,9591.00,9445.00,146.00
MFR Demo 02,405055,9650.00,9445.00,205.00
"","","","",""
"","","","",""
MFR Demo 02,405059,10641.00,10281.00,360.00
MFR Demo 02,405060,10761.00,10763.00,-2.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
MFR Demo 02,405065,11959.00,11418.00,541.00
