Truck,Loading ETA,Loading Arrival,Tripleg Income,Total Kms
16,2013-11-22 15:00:00,2013-11-22 15:30:00,"78,302.00",3048
178,2013-11-22 07:00:00,2013-11-22 09:00:00,"64,232.66",2493
171,2013-11-22 08:00:00,2013-11-22 07:08:00,"44,991.52",2520
172,2013-11-22 08:00:00,2013-11-22 13:07:00,"27,736.37",1103
63,2013-11-21 08:00:00,2013-11-22 06:00:00,"50,501.70",2855
31,2013-11-21 17:00:00,2013-11-21 17:10:00,"78,302.00",2747
130,2013-11-22 08:00:00,2013-11-22 07:19:00,"45,229.71",2520
185,2013-11-22 08:00:00,2013-11-22 07:00:00,"45,114.59",2520
187,2013-11-22 08:00:00,2013-11-22 07:00:00,"44,991.52",2520
188,2013-11-22 08:00:00,2013-11-22 06:50:00,"45,150.31",2537
192,2013-11-22 10:00:00,2013-11-22 10:00:00,"2,154.17",253
194,2013-11-22 08:00:00,2013-11-22 07:10:00,"45,123.85",2378
195,2013-11-22 08:00:00,2013-11-22 06:52:00,"45,179.43",2520
198,2013-11-21 12:00:00,2013-11-21 16:55:00,"8,571.92",26.75
198,2013-11-22 15:00:00,(none),"61,428.08",128.69
206,2013-11-22 17:00:00,2013-11-22 20:00:00,"78,302.00",3191
6,2013-11-22 17:00:00,2013-11-22 19:34:00,"78,346.74",3222
20,2013-11-22 08:00:00,2013-11-22 07:31:00,"78,302.00",2762
72,2013-11-21 15:00:00,2013-11-22 04:00:00,"50,099.42",2855
73,2013-11-22 13:00:00,2013-11-22 17:50:00,"6,260.35",243
75,2013-11-22 10:00:00,2013-11-22 07:20:00,"78,749.44",2704
91,2013-11-22 08:00:00,2013-11-22 08:06:00,"45,110.62",2520
92,2013-11-21 15:00:00,2013-11-21 18:39:00,"70,000.00",2219
94,2013-11-22 08:00:00,2013-11-22 07:00:00,"45,224.42",2520
137,2013-11-22 08:00:00,2013-11-22 16:00:00,"70,000.00",2035
269,2013-11-22 08:00:00,2013-11-22 07:30:00,"5,006.19",200
269,2013-11-22 20:00:00,2013-11-22 20:10:00,"73,295.81",2903.45
270,2013-11-22 08:00:00,2013-11-22 07:00:00,"45,252.21",2558
125,2013-11-22 08:00:00,2013-11-22 11:40:00,"45,044.45",2520
126,2013-11-22 08:00:00,2013-11-22 11:00:00,"67,170.00",2398
136,2013-11-22 08:00:00,2013-11-22 06:55:00,"44,991.52",2520
