Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
116,404585,455097.00,455588.00,-491.00
"","","","",""
"","","","",""
"","","","",""
97,405608,442618.00,444059.00,-1441.00
"","","","",""
"","","","",""
97,406375,444074.00,444059.00,15.00
86,406377,487667.00,487645.00,22.00
"","","","",""
38,406578,39947.00,40674.00,-727.00
"","","","",""
116,406834,456682.00,456682.00,0.00
86,406928,489305.00,489939.00,-634.00
"","","","",""
116,406972,456683.00,456682.00,1.00
"","","","",""
86,407570,489902.00,489939.00,-37.00
"","","","",""
38,408093,41155.00,41470.00,-315.00
84,408286,491390.00,492848.00,-1458.00
38,408608,41735.00,41470.00,265.00
116,409391,457648.00,458051.00,-403.00
97,409396,447554.00,449340.00,-1786.00
"","","","",""
"","","","",""
86,409506,493825.00,494520.00,-695.00
86,409597,494407.00,494520.00,-113.00
84,409607,492835.00,492848.00,-13.00
116,410047,458250.00,458051.00,199.00
86,410287,495669.00,495599.00,70.00
84,410364,494417.00,495074.00,-657.00
116,411124,459728.00,459710.00,18.00
"","","","",""
"","","","",""
116,411590,460940.00,459710.00,1230.00
"","","","",""
83,412469,487906.00,489890.00,-1984.00
84,412492,496384.00,496384.00,0.00
116,412546,462341.00,462770.00,-429.00
38,412652,44377.00,45685.00,-1308.00
"","","","",""
"","","","",""
86,414071,499603.00,498870.00,733.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
38,414607,47317.00,47814.00,-497.00
97,415040,450013.00,451149.00,-1136.00
38,415162,48813.00,47965.00,848.00
116,415501,464609.00,465952.00,-1343.00
83,415656,491527.00,492025.00,-498.00
84,415950,498633.00,498601.00,32.00
83,416672,492765.00,493587.00,-822.00
116,416793,465484.00,465952.00,-468.00
"","","","",""
97,417536,451224.00,452679.00,-1455.00
86,417607,501908.00,501880.00,28.00
84,417702,499217.00,500658.00,-1441.00
"","","","",""
84,417917,502280.00,502334.00,-54.00
83,418187,494303.00,493587.00,716.00
97,418680,452695.00,452679.00,16.00
84,419016,502851.00,502769.00,82.00
97,419166,454284.00,454959.00,-675.00
86,419392,502892.00,504292.00,-1400.00
"","","","",""
116,419762,466267.00,467790.00,-1523.00
116,419764,466600.00,467790.00,-1190.00
83,420260,494892.00,496311.00,-1419.00
"","","","",""
84,420612,503283.00,504146.00,-863.00
"","","","",""
116,421114,467795.00,467790.00,5.00
97,421531,455779.00,455779.00,0.00
83,421854,496334.00,496311.00,23.00
38,421865,49701.00,47965.00,1736.00
38,421866,50832.00,52044.00,-1212.00
38,421999,51726.00,52044.00,-318.00
"","","","",""
"","","","",""
"","","","",""
116,422886,469024.00,439458.00,29566.00
"","","","",""
116,423882,469636.00,470390.00,-754.00
83,423899,498890.00,499478.00,-588.00
"","","","",""
97,424604,458392.00,458379.00,13.00
38,424696,53535.00,55677.00,-2142.00
86,424697,504789.00,505984.00,-1195.00
"","","","",""
84,425130,504367.00,504146.00,221.00
86,425389,505995.00,505984.00,11.00
116,425541,470901.00,470825.00,76.00
"","","","",""
"","","","",""
"","","","",""
38,425985,55942.00,55878.00,64.00
"","","","",""
