Truck,FM ID,Primary Fleet,Function Code,Date,Income,Contribution,Kms,Blackout Status
135003,5256,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,200.25","R1,116.04",223,Yes
140258,5257,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,200.25","R1,116.04",223,Yes
140259,5241,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,200.25","R1,116.04",223,Yes
140260,5242,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,200.25","R1,116.04",223,Yes
140261,5243,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,200.25","R1,116.04",223,Yes
140262,5244,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,200.25","R1,116.04",223,Yes
140263,5245,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,200.25","R1,116.04",223,Yes
140264,5246,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,200.25","R1,116.04",223,Yes
140265,5247,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,057.69","R1,090.38",223,Yes
140266,5248,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R5,820.51","R1,047.69",297,Yes
140272,5249,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,200.25","R1,116.04",223,Yes
140273,5250,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,200.25","R1,116.04",223,Yes
140274,5251,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,200.25","R1,116.04",223,Yes
140275,5252,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,200.25","R1,116.04",223,Yes
140276,5253,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,200.25","R1,116.04",223,Yes
140278,5258,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R5,820.51","R1,047.69",297,Yes
141001,5143,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,495.78","R1,169.24",331,Yes
141006,5254,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,200.25","R1,116.04",223,Yes
141007,5255,Meadow Feeds - Paarl and Ladismith,317,2015-08-03,"R6,200.25","R1,116.04",223,Yes
541011,5183,Meadow Feeds - P.E,318,2015-08-03,"R4,611.83",R830.13,174,Yes
