Truck,Loading ETA,Loading Arrival,Tripleg Income,Total Kms
172,2014-02-21 13:00:00,2014-02-21 14:00:00,"105,698.17",3143.88
209,2014-02-22 08:00:00,2014-02-21 09:00:00,"53,200.00",2767
185,2014-02-23 08:00:00,2014-02-17 15:10:00,"50,008.00",2855
188,2014-02-21 13:00:00,2014-02-21 12:00:00,"3,122.94",84
196,2014-03-01 13:00:00,2014-02-21 08:00:00,"110,000.00",2960
201,2014-02-21 08:00:00,2014-02-20 20:49:00,"110,000.00",2960
204,2014-02-21 06:00:00,2014-02-21 10:00:00,"110,000.00",2960
14,2014-02-21 10:00:00,2014-02-21 12:53:00,"82,250.00",3142
94,2014-02-21 13:00:00,2014-02-21 13:00:00,"110,000.00",2960
296,2014-02-22 08:00:00,2014-02-21 20:00:00,"110,000.00",2960
