Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
140260,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 04:55:00,2015-09-24 04:55:00,"2,739.24",125,2015-09-24 05:00:00,0
140260,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 00:30:00,2015-09-24 00:30:00,"2,739.24",125,2015-09-24 00:35:00,0
140260,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 09:15:00,2015-09-24 09:15:00,"2,762.88",127,2015-09-24 09:20:00,0
140261,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 05:15:00,2015-09-24 05:15:00,"7,886.77",347,2015-09-24 05:20:00,0
140263,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 04:25:00,2015-09-24 04:25:00,"1,970.94",60,2015-09-24 04:30:00,0
140263,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 08:15:00,2015-09-24 08:15:00,205.62,10,2015-09-24 08:20:00,0
140263,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 10:26:00,2015-09-24 10:27:00,"5,757.48",281,2015-09-24 10:28:00,0
140264,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 04:05:00,2015-09-24 04:05:00,"1,444.52",71,2015-09-24 04:10:00,0
140264,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 07:06:00,2015-09-24 07:07:00,"1,505.55",74,2015-09-24 07:08:00,0
140264,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 09:31:00,2015-09-24 09:32:00,"6,083.24",299,2015-09-24 09:33:00,0
140265,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 00:05:00,2015-09-24 00:05:00,"1,982.76",61,2015-09-24 00:10:00,0
140265,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 04:20:00,2015-09-24 04:20:00,"1,982.76",61,2015-09-24 04:25:00,0
140265,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 08:35:00,2015-09-24 08:35:00,"2,089.14",70,2015-09-24 08:40:00,43.9
140272,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 00:55:00,2015-09-24 00:55:00,"1,300.77",46,2015-09-24 01:00:00,0
140272,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 04:10:00,2015-09-24 04:10:00,"1,241.67",41,2015-09-24 04:15:00,0
140272,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 07:05:00,2015-09-24 07:05:00,"1,470.01",24,2015-09-24 07:10:00,0
140272,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 09:16:00,2015-09-24 09:17:00,"1,592.51",107,2015-09-24 09:18:00,0
140273,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 03:10:00,2015-09-24 03:10:00,"1,663.50",35,2015-09-24 03:15:00,43.9
140273,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 06:06:00,2015-09-24 06:07:00,"1,711.03",37,2015-09-24 06:08:00,0
140273,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 07:55:00,2015-09-24 07:55:00,"2,940.18",143,2015-09-24 07:59:00,0
140274,Meadow Feeds-Paarl & Ladismith F & V,"",2015-09-24 05:00:00,2015-09-24 05:00:00,"2,297.54",97,2015-09-24 05:01:00,0
