Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
"","","","",""
D10,405183,126818.00,127071.00,-253.00
"","","","",""
D09,405185,96620.00,96615.00,5.00
D17,405187,135721.00,135717.00,4.00
D19,405188,93601.00,93694.00,-93.00
"","","","",""
D01,405190,69233.00,69228.00,5.00
D08,405191,147083.00,147079.00,4.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D19,405626,93971.00,93967.00,4.00
"","","","",""
"","","","",""
D11,406078,85980.00,85975.00,5.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D01,406569,69823.00,69818.00,5.00
"","","","",""
"","","","",""
"","","","",""
D12,406577,92305.00,92297.00,8.00
"","","","",""
D20,406582,121312.00,121237.00,75.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D08,408046,148106.00,148101.00,5.00
"","","","",""
"","","","",""
"","","","",""
D17,408066,137550.00,137720.00,-170.00
"","","","",""
D10,408749,"",129062.00,-129062.00
"","","","",""
"","","","",""
D10,408772,129687.00,129679.00,8.00
"","","","",""
"","","","",""
D18,408795,142044.00,142278.00,-234.00
D23,408800,111032.00,111002.00,30.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D09,408822,99458.00,99439.00,19.00
"","","","",""
"","","","",""
"","","","",""
D18,409718,143043.00,143287.00,-244.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D09,409981,100635.00,100640.00,-5.00
D10,409983,131732.00,131844.00,-112.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D09,411115,101226.00,101430.00,-204.00
"","","","",""
"","","","",""
D19,411152,96095.00,96178.00,-83.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D23,411222,112709.00,113150.00,-441.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D17,411239,139299.00,139293.00,6.00
"","","","",""
"","","","",""
D23,411724,113479.00,113474.00,5.00
"","","","",""
"","","","",""
D10,411736,133768.00,133955.00,-187.00
D17,411740,139441.00,139437.00,4.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D17,412518,139855.00,139851.00,4.00
D19,412519,97007.00,96999.00,8.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D08,412955,150682.00,150678.00,4.00
D11,412956,89221.00,89217.00,4.00
"","","","",""
"","","","",""
D18,412960,145474.00,145479.00,-5.00
"","","","",""
"","","","",""
"","","","",""
D10,413909,134690.00,134897.00,-207.00
"","","","",""
D08,413914,150931.00,150678.00,253.00
D10,413916,136400.00,135880.00,520.00
"","","","",""
D17,413918,140428.00,140421.00,7.00
"","","","",""
"","","","",""
D08,413922,151119.00,151115.00,4.00
D10,413923,136500.00,136385.00,115.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D19,413932,97576.00,97510.00,66.00
D17,414628,140874.00,140867.00,7.00
"","","","",""
D08,414630,151432.00,151391.00,41.00
"","","","",""
"","","","",""
D01,415715,73048.00,73046.00,2.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D10,415903,137577.00,137682.00,-105.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D09,416260,103889.00,103884.00,5.00
"","","","",""
D09,416262,104951.00,104972.00,-21.00
D09,416264,105353.00,105346.00,7.00
D17,416266,141646.00,141642.00,4.00
"","","","",""
D19,416275,98306.00,98302.00,4.00
D19,416276,98645.00,98640.00,5.00
D19,416277,98908.00,98902.00,6.00
"","","","",""
D20,416279,126635.00,126625.00,10.00
"","","","",""
"","","","",""
"","","","",""
D23,416298,116459.00,116454.00,5.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D01,417826,73591.00,73558.00,33.00
"","","","",""
"","","","",""
D09,417838,106196.00,106317.00,-121.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D17,417850,142191.00,142394.00,-203.00
D18,417852,148680.00,149086.00,-406.00
"","","","",""
"","","","",""
"","","","",""
D11,418247,91109.00,91348.00,-239.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D23,419364,119464.00,119712.00,-248.00
D09,419365,107710.00,107807.00,-97.00
"","","","",""
D20,419367,127991.00,128199.00,-208.00
"","","","",""
"","","","",""
"","","","",""
D10,419654,141520.00,142322.00,-802.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D19,421418,101069.00,101372.00,-303.00
D17,421420,143998.00,144226.00,-228.00
"","","","",""
D10,421422,142735.00,142688.00,47.00
"","","","",""
D11,421424,92587.00,92943.00,-356.00
"","","","",""
"","","","",""
"","","","",""
D19,421429,101743.00,101845.00,-102.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D08,422708,154821.00,154930.00,-109.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D12,422713,96857.00,97205.00,-348.00
"","","","",""
"","","","",""
D20,422995,130081.00,130208.00,-127.00
"","","","",""
D11,423145,94458.00,94454.00,4.00
"","","","",""
D10,423213,145347.00,145539.00,-192.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D18,423915,155019.00,155014.00,5.00
"","","","",""
"","","","",""
"","","","",""
D10,425830,146317.00,146519.00,-202.00
"","","","",""
"","","","",""
D10,425837,147400.00,147405.00,-5.00
D11,425839,95219.00,95399.00,-180.00
"","","","",""
D17,425844,147262.00,147478.00,-216.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D20,425895,130903.00,131093.00,-190.00
D20,425898,131452.00,131563.00,-111.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
