Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
135001,5140,Meadow Feeds - Pmb,40.000,316,2015-10-03,"R4,845.26",R387.62,168,Yes
135002,5141,Meadow Feeds - Pmb,40.000,316,2015-10-03,"R4,845.26",R387.62,168,Yes
135004,5142,Meadow Feeds - Pmb,40.000,316,2015-10-03,"R4,845.26",R387.62,168,Yes
140250,5132,Meadow Feeds - Pmb,40.000,316,2015-10-03,"R4,845.26",R387.62,168,Yes
140251,5133,Meadow Feeds - Pmb,40.000,316,2015-10-03,"R4,845.26",R387.62,168,Yes
140252,5134,Meadow Feeds - Pmb,40.000,316,2015-10-03,"R4,845.26",R387.62,168,Yes
140253,5135,Meadow Feeds - Pmb,40.000,316,2015-10-03,"R4,845.26",R387.62,168,Yes
140254,5136,Meadow Feeds - Pmb,40.000,316,2015-10-03,"R4,845.26",R387.62,168,Yes
140255,5137,Meadow Feeds - Pmb,40.000,316,2015-10-03,"R4,845.26",R387.62,168,Yes
140256,5138,Meadow Feeds - Pmb,40.000,316,2015-10-03,"R7,610.00",R380.50,168,Yes
140257,5139,Meadow Feeds - Pmb,40.000,316,2015-10-03,"R4,845.26",R387.62,168,Yes
140258,5257,Meadow Feeds - Paarl and Ladismith,40.000,317,2015-10-03,"R6,037.64",R905.65,223,Yes
140259,5241,Meadow Feeds - Paarl and Ladismith,40.000,317,2015-10-03,"R6,037.64",R905.65,223,Yes
140260,5242,Meadow Feeds - Paarl and Ladismith,40.000,317,2015-10-03,"R6,037.64",R905.65,223,Yes
140261,5243,Meadow Feeds - Paarl and Ladismith,40.000,317,2015-10-03,"R6,037.64",R905.65,223,Yes
140262,5244,Meadow Feeds - Paarl and Ladismith,40.000,317,2015-10-03,"R6,037.64",R905.65,223,Yes
140263,5245,Meadow Feeds - Paarl and Ladismith,40.000,317,2015-10-03,"R6,037.64",R905.65,223,Yes
140264,5246,Meadow Feeds - Paarl and Ladismith,40.000,317,2015-10-03,"R6,037.64",R905.65,223,Yes
