Truck,Date,Income,Contribution,Kms,Blackout Status
143001,2015-02-23,"R4,459.39",R802.69,217,Yes
143002,2015-02-23,"R4,459.39",R802.69,217,No
143003,2015-02-23,"R4,459.39",R802.69,217,No
143004,2015-02-23,"R4,459.39",R802.69,217,No
525201,2015-02-23,"R3,542.63",R637.67,217,No
538257,2015-02-23,"R3,572.09",R642.98,208,No
545249,2015-02-23,"R15,052.50","R2,709.45",1052,Yes
545250,2015-02-23,"R15,052.50","R2,709.45",1052,Yes
545251,2015-02-23,"R15,052.50","R2,709.45",1052,Yes
545252,2015-02-23,"R15,052.50","R2,709.45",1052,No
545253,2015-02-23,"R15,052.50","R2,709.45",1052,Yes
545254,2015-02-23,"R15,052.50","R2,709.45",1052,No
C2,2015-02-23,"R2,483.33",R447.00,208,No
Hire1,2015-02-23,"R2,831.54",R509.68,208,Yes
Hire2,2015-02-23,"R2,831.54",R509.68,208,No
Hire3,2015-02-23,"R2,831.54",R509.68,208,No
