Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
T058,Mondi,"",2015-09-29 01:00:00,2015-09-29 01:10:00,"7,266.19",389,2015-09-29 01:16:00,190
T058,Mondi,"",2015-09-29 17:00:00,2015-09-29 20:00:00,"7,452.09",194,2015-09-29 20:17:00,190
T059,Mondi,"",2015-09-29 07:00:00,2015-09-29 09:00:00,"5,910.63",314,2015-09-29 09:03:00,164
T059,Mondi,"",2015-09-29 20:00:00,2015-09-29 21:14:00,"5,696.78",158,2015-09-29 21:19:00,164
T060,Mondi,"",2015-09-29 07:00:00,2015-09-29 10:00:00,"5,720.24",322,2015-09-29 11:23:00,164
T061,Mondi,"",2015-09-29 07:00:00,2015-09-29 10:05:00,"7,371.96",398,2015-09-29 10:11:00,190
T061,Mondi,"",2015-09-29 22:00:00,2015-09-29 23:42:00,"7,187.66",197,2015-09-29 23:49:00,190
T063,Mondi,"",2015-09-29 15:00:00,2015-09-29 15:14:00,"3,769.93",201,2015-09-29 15:32:00,115
T064,Mondi,"",2015-09-29 06:00:00,2015-09-29 06:08:00,"3,561.06",198,2015-09-29 06:09:00,115
T064,Mondi,"",2015-09-29 15:00:00,2015-09-29 14:31:00,"3,310.41",200,2015-09-29 14:52:00,115
