Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
EC945021,Ecosse - Metsep,"",2015-09-01 00:00:00,2015-09-01 00:00:00,"2,789.80",75,2015-09-01 00:05:00,90
EC945021,Ecosse - Metsep,"",2015-09-01 09:05:00,2015-09-01 09:05:00,"2,789.80",75,2015-09-01 09:10:00,98
EC144029,Ecosse - Metsep,"",2015-09-01 00:00:00,(none),"3,347.76",45,(none),45
EC144029,Ecosse - Metsep,"",2015-09-01 09:05:00,2015-09-01 09:05:00,"3,626.74",45,(none),45
EC144029,Ecosse - Metsep,"",2015-09-02 00:00:00,2015-09-02 00:00:00,"4,154.10",28,(none),28
EC144017,Ecosse-Chemical Initiatives,"",2015-09-01 16:00:00,2015-09-01 16:40:00,"22,820.26",838,2015-09-01 20:35:00,1364
EC144018,NCP Chlorochem - Chlorine,"",2015-09-01 06:00:00,2015-09-01 09:40:00,"5,274.03",139,2015-09-01 10:25:00,200
EC144018,NCP Chlorochem - Chlorine,"",2015-09-01 18:00:00,(none),"5,274.03",200,(none),200
EC144019,Ecosse-Tradecorp Chemicals Trading (Pty) Ltd,"",2015-09-01 20:00:00,2015-09-01 20:30:00,"32,957.35",2527,2015-09-01 21:00:00,2120
EC144020,Ecosse-Tradecorp Chemicals Trading (Pty) Ltd,"",2015-09-01 15:00:00,2015-09-01 14:45:00,"18,064.63",1140,2015-09-01 19:00:00,1520
EC144022,Ecosse-Tradecorp Chemicals Trading (Pty) Ltd,"",2015-09-01 14:00:00,2015-09-01 14:50:00,"17,769.23",735,2015-09-01 15:50:00,1520
EC144023,Ecosse- NCP Chlorchem,"",2015-09-01 16:00:00,2015-09-01 16:00:00,"5,667.01",878,2015-09-01 16:50:00,202
EC144024,Ecosse-Protea Inland Chemicals,"",2015-09-01 15:00:00,2015-09-01 15:30:00,"5,514.52",360,2015-09-01 15:50:00,250
EC144027,Ecosse-Protea Chemicals Mining,"",2015-09-01 16:00:00,2015-09-01 16:00:00,"8,500.72",1950,2015-09-01 16:15:00,432
EC144035,Ecosse-Protea Inland Chemicals,"",2015-09-01 18:00:00,2015-09-01 17:40:00,"5,243.32",119,2015-09-01 20:25:00,200
EC144036,Ecosse-Marlyn Chemicals (Pty) Ltd,"",2015-09-01 16:00:00,2015-09-01 16:26:00,"2,930.00",408,2015-09-01 18:20:00,40
EC144031,Ecosse-Marlyn Vulindlela (Pty) Ltd,"",2015-09-01 13:00:00,2015-09-01 10:25:00,"3,294.24",94,2015-09-01 13:05:00,100
EC144031,Ecosse-Marlyn Vulindlela (Pty) Ltd,"",2015-09-01 18:00:00,2015-09-01 18:15:00,"3,294.24",282,2015-09-01 19:05:00,100
E44,Ecosse- Zinchem,"",2015-09-01 06:00:00,2015-09-01 07:05:00,"6,556.60",399,2015-09-01 08:50:00,380
E47,Ecosse-Protea Inland Chemicals,"",2015-09-01 06:00:00,2015-09-01 07:20:00,"7,136.37",322,2015-09-01 09:00:00,330
E49,Ecosse - Metsep,"",2015-09-01 00:00:00,2015-09-01 00:00:00,976.43,19,2015-09-01 00:05:00,30
E49,Ecosse - Metsep,"",2015-09-01 09:05:00,2015-09-01 09:05:00,976.43,19,2015-09-01 09:11:00,22
