Truck,Date,Income,Contribution,Kms,Blackout Status
541003,2015-03-31,"R14,359.79","R1,841.75",768,Yes
541004,2015-03-31,"R14,359.79","R1,841.75",768,Yes
541005,2015-03-31,"R14,359.79","R1,841.75",768,Yes
541009,2015-03-31,"R14,359.79","R1,841.75",768,Yes
541011,2015-03-31,"R14,359.79","R1,841.75",768,Yes
541015,2015-03-31,"R14,359.79","R1,841.75",768,Yes
541018,2015-03-31,"R14,359.79","R1,841.75",768,Yes
541020,2015-03-31,"R14,359.79","R1,841.75",768,Yes
541024,2015-03-31,"R14,359.79","R1,841.75",768,Yes
Demo,2015-03-31,"R14,359.79","R1,841.75",768,Yes
