Truck,FM ID,Primary Fleet,Function Code,Date,Income,Contribution,Kms,Blackout Status
D03,1274,RE - KZN,"",2015-08-07,"R2,457.05",R168.52,168,No
D04,1275,RE - KZN,"",2015-08-07,"R2,278.51",R168.52,123,No
D05,1276,RE - KZN,"",2015-08-07,"R2,221.73",R168.52,109,No
D06,1278,RE - KZN,"",2015-08-07,"R2,297.14",R285.37,54,No
D12,1284,RE - KZN,"",2015-08-07,"R2,884.80",R282.97,184,Yes
D13,1285,RE - KZN,"",2015-08-07,"R2,765.55",R282.97,146,No
D14,1286,RE - KZN,"",2015-08-07,"R3,093.05",R282.97,209,No
D15,1287,RE - KZN,"",2015-08-07,"R3,100.49",R282.97,211,No
D16,1288,RE - KZN,"",2015-08-07,"R3,237.76",R264.52,222,Yes
D21,1292,RE - KZN,"",2015-08-07,"R3,909.50",R430.11,199,No
D22,1293,RE - KZN,"",2015-08-07,"R3,716.88",R419.47,183,No
D24,1295,RE - KZN,"",2015-08-07,"R1,634.29",R32.86,21,Yes
D590,"",RE - Rental,"",2015-08-07,"R2,886.17",R469.24,70,Yes
