Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
M051,404294,69071.00,71101.00,-2030.00
M057,404422,49400.00,48801.00,599.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M058,405086,71908.00,72440.00,-532.00
"","","","",""
M052,405473,60046.00,61172.00,-1126.00
M068,405474,25095.00,26217.00,-1122.00
M051,405475,69955.00,71101.00,-1146.00
"","","","",""
M049,405655,73147.00,74285.00,-1138.00
M067,405682,22693.00,22693.00,0.00
M050,405768,83146.00,83828.00,-682.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M050,406403,83817.00,83828.00,-11.00
"","","","",""
M051,406446,71101.00,71101.00,0.00
"","","","",""
"","","","",""
"","","","",""
M055,406461,79136.00,79136.00,0.00
M058,406520,72867.00,72867.00,0.00
"","","","",""
"","","","",""
"","","","",""
M049,406735,74861.00,74861.00,0.00
M055,406840,79715.00,79715.00,0.00
M041,406853,70268.00,70268.00,0.00
"","","","",""
"","","","",""
"","","","",""
M050,406880,84450.00,84450.00,0.00
M058,406888,73473.00,73473.00,0.00
M046,406966,65310.00,65310.00,0.00
"","","","",""
M057,407054,52316.00,53100.00,-784.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M057,408067,52986.00,54838.00,-1852.00
M050,408215,85266.00,85266.00,0.00
"","","","",""
M059,408227,61480.00,62087.00,-607.00
"","","","",""
M047,408439,88359.00,87820.00,539.00
"","","","",""
"","","","",""
M048,408609,66960.00,66960.00,0.00
M052,408620,63018.00,63018.00,0.00
M050,408824,85864.00,85864.00,0.00
M040,408832,76722.00,76722.00,0.00
"","","","",""
"","","","",""
M053,408929,77563.00,78067.00,-504.00
"","","","",""
M058,409069,74097.00,74110.00,-13.00
M052,409285,63629.00,64232.00,-603.00
M040,409360,77177.00,78188.00,-1011.00
"","","","",""
"","","","",""
"","","","",""
M047,409546,88426.00,88426.00,0.00
M047,409561,89032.00,89527.00,-495.00
M051,409675,72533.00,72628.00,-95.00
"","","","",""
M057,409848,54869.00,54838.00,31.00
