Truck,Loading ETA,Loading Arrival,Tripleg Income,Total Kms
113,2013-01-29 08:00:00,2013-01-29 08:00:00,"64,960.00",3016
15,2013-01-29 07:00:00,2013-01-28 18:00:00,"64,960.00",3016
74,2013-01-27 10:00:00,2013-01-28 06:00:00,"18,468.80",1755
175,2013-01-29 07:00:00,2013-01-28 23:00:00,"64,960.00",3016
200,2013-01-28 15:00:00,2013-01-28 15:30:00,"46,368.00",1748
137,2013-01-29 12:00:00,2013-01-29 14:30:00,"18,488.96",1865
136,2013-01-29 07:00:00,2013-01-28 19:00:00,"65,145.60",3016
179,2013-01-28 14:00:00,2013-01-29 06:13:00,"29,440.00",2264
192,2013-01-29 12:00:00,2013-01-29 14:00:00,"55,144.34",1790
125,2013-01-28 14:00:00,2013-01-28 15:30:00,"22,427.84",2060
17,2013-01-29 07:00:00,2013-01-29 13:46:00,"65,052.80",3016
20,2013-01-30 07:00:00,2013-01-28 21:45:00,"65,145.60",3016
24,2013-01-29 07:00:00,2013-01-28 22:50:00,"64,960.00",3016
27,2013-01-29 18:00:00,(none),"59,606.21",2700.12
