startDate,stopDate,Truck
2015-03-10 00:00:00,2015-03-11 00:00:00,M006
2015-03-10 00:00:00,2015-03-11 00:00:00,M007
2015-03-10 00:00:00,2015-03-11 00:00:00,M013
2015-03-10 00:00:00,2015-03-11 00:00:00,M014
2015-03-10 00:00:00,2015-03-11 00:00:00,M015
2015-03-10 00:00:00,2015-03-11 00:00:00,M024
2015-03-10 00:00:00,2015-03-11 00:00:00,M025
2015-03-10 00:00:00,2015-03-11 00:00:00,M026
2015-03-10 00:00:00,2015-03-11 00:00:00,M027
2015-03-10 00:00:00,2015-03-11 00:00:00,M028
2015-03-10 00:00:00,2015-03-11 00:00:00,M031
2015-03-10 00:00:00,2015-03-11 00:00:00,M032
2015-03-10 00:00:00,2015-03-11 00:00:00,M033
2015-03-10 00:00:00,2015-03-11 00:00:00,M034
2015-03-10 00:00:00,2015-03-11 00:00:00,M036
2015-03-10 00:00:00,2015-03-11 00:00:00,M037
2015-03-10 00:00:00,2015-03-11 00:00:00,M038
2015-03-10 00:00:00,2015-03-11 00:00:00,M040
2015-03-10 00:00:00,2015-03-11 00:00:00,M041
2015-03-10 00:00:00,2015-03-11 00:00:00,M042
2015-03-10 00:00:00,2015-03-11 00:00:00,M043
2015-03-10 00:00:00,2015-03-11 00:00:00,M044
2015-03-10 00:00:00,2015-03-11 00:00:00,M045
2015-03-10 00:00:00,2015-03-11 00:00:00,M046
2015-03-10 00:00:00,2015-03-11 00:00:00,M047
2015-03-10 00:00:00,2015-03-11 00:00:00,M048
2015-03-10 00:00:00,2015-03-11 00:00:00,M049
2015-03-10 00:00:00,2015-03-11 00:00:00,M051
2015-03-10 00:00:00,2015-03-11 00:00:00,M052
2015-03-10 00:00:00,2015-03-11 00:00:00,M053
2015-03-10 00:00:00,2015-03-11 00:00:00,M054
2015-03-10 00:00:00,2015-03-11 00:00:00,M055
2015-03-10 00:00:00,2015-03-11 00:00:00,M056
2015-03-10 00:00:00,2015-03-11 00:00:00,M057
2015-03-10 00:00:00,2015-03-11 00:00:00,M058
2015-03-10 00:00:00,2015-03-11 00:00:00,M059
2015-03-10 00:00:00,2015-03-11 00:00:00,M060
2015-03-10 00:00:00,2015-03-11 00:00:00,M061
2015-03-10 00:00:00,2015-03-11 00:00:00,M062
2015-03-10 00:00:00,2015-03-11 00:00:00,M063
2015-03-10 00:00:00,2015-03-11 00:00:00,M064
2015-03-10 00:00:00,2015-03-11 00:00:00,M065
2015-03-10 00:00:00,2015-03-11 00:00:00,M066
2015-03-10 00:00:00,2015-03-11 00:00:00,M067
2015-03-10 00:00:00,2015-03-11 00:00:00,M068
2015-03-10 00:00:00,2015-03-11 00:00:00,M069
2015-03-10 00:00:00,2015-03-11 00:00:00,M039
2015-03-10 00:00:00,2015-03-11 00:00:00,M050
2015-03-10 00:00:00,2015-03-11 00:00:00,M070
2015-03-10 00:00:00,2015-03-11 00:00:00,M071
2015-03-10 00:00:00,2015-03-11 00:00:00,M072
2015-03-10 00:00:00,2015-03-11 00:00:00,M076
2015-03-10 00:00:00,2015-03-11 00:00:00,M077
2015-03-10 00:00:00,2015-03-11 00:00:00,M073
2015-03-10 00:00:00,2015-03-11 00:00:00,M074
2015-03-10 00:00:00,2015-03-11 00:00:00,M075
