Cargo,Trip Number,Truck,Planned Loading Arrival,Loading Arrival,Planned Offloading Arrival,Offloading Arrival,Loading Difference (hrs),Offloading Difference (hrs),Planning Difference(hrs),Time Created,Created by,Customer
236034,184393,21,2011-08-10 12:00:00,2011-08-10 13:07:00,2011-08-10 16:00:00,2011-08-10 16:34:00,1,1,1,10 August,Mario Dorlly,Monteagle Africa Limited
236065,A16258,166,2011-08-09 08:00:00,2011-08-09 08:05:00,2011-08-09 15:00:00,2011-08-09 13:25:00,0,0,26,10 August,Kenny Hiscock,Arcelor Mittal
236063,197235,102,2011-08-10 13:00:00,2011-08-10 13:35:00,2011-08-12 08:00:00,2011-08-10 20:15:00,1,-34,1,10 August,Shaun du Preez,Pannar Seeds
236066,181127,6,2011-08-10 12:00:00,2011-08-10 10:30:00,2011-08-12 08:00:00,2011-08-11 15:10:00,0,-15,0,10 August,Devon Bezuidenhout,Premier Trunking - Isando
236013,198138,115,2011-08-10 11:00:00,2011-08-10 10:49:00,2011-08-11 10:00:00,2011-08-11 06:27:00,0,-2,2,10 August,Shaun du Preez,Hulamin Ext (Midrand)
236063,197235,18,2011-08-10 13:00:00,2011-08-10 21:05:00,2011-08-12 08:00:00,2011-08-12 15:00:00,8,7,1,10 August,Shaun du Preez,Pannar Seeds
236014,192288,78,2011-08-10 13:00:00,2011-08-11 06:40:00,2011-08-12 08:00:00,2011-08-12 09:45:00,18,2,4,10 August,Devon Bezuidenhout,Hulamin Ext (Midrand)
236032,192260,26,2011-08-10 14:00:00,2011-08-11 08:05:00,2011-08-11 14:00:00,2011-08-12 06:10:00,18,16,3,10 August,Shaun du Preez,Plaaskem (Pty) Ltd
236067,186384,232,2011-08-10 13:00:00,2011-08-11 06:15:00,2011-08-12 08:00:00,2011-08-12 10:00:00,17,2,1,10 August,Devon Bezuidenhout,Kodav
236068,180205,217,2011-08-10 14:00:00,2011-08-11 06:25:00,2011-08-12 08:00:00,2011-08-12 10:00:00,16,2,2,10 August,Devon Bezuidenhout,Kodav
236074,198009,86,2011-08-10 18:00:00,2011-08-10 13:30:00,2011-08-11 12:00:00,2011-08-11 08:06:00,-3,-2,6,10 August,Jacques Maartens,Premier Trunking - Isando
236073,187175,189,2011-08-10 18:00:00,2011-08-10 13:39:00,2011-08-11 12:00:00,2011-08-11 10:33:00,-4,-1,6,10 August,Jacques Maartens,Premier Trunking - Isando
236076,A16170,165,2011-08-06 09:35:00,2011-08-06 09:35:00,2011-08-06 14:20:00,2011-08-06 12:40:00,0,0,97,10 August,Kenny Hiscock,Hillside Aluminium Ltd
236055,186306,221,2011-08-10 12:31:00,2011-08-10 13:00:00,2011-08-11 18:00:00,2011-08-12 07:00:00,0,13,1,10 August,Mario Dorlly,Kempston Logistics P.E
236069,196389,169,2011-08-10 12:00:00,2011-08-10 11:37:00,2011-08-11 13:00:00,2011-08-11 07:00:00,0,-6,0,10 August,Mario Dorlly,AfriSam
236079,186317,195,2011-08-10 14:00:00,2011-08-10 13:11:00,2011-08-11 10:00:00,2011-08-11 10:35:00,1,1,3,10 August,Jacques Maartens,Pride Milling - Nigel
236080,197113,E18,2011-08-09 16:00:00,2011-08-09 20:50:00,2011-08-15 08:00:00,2011-08-16 15:20:00,5,31,19,10 August,Vimal Ganesh,Zambia Sugar
