Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
E34,NCP Chlorchem F&V,"",2015-09-14 05:55:00,2015-09-14 06:00:00,"2,626.15",187,2015-09-14 07:25:00,0
E34,NCP Chlorchem F&V,"",2015-09-14 15:30:00,2015-09-14 15:25:00,"1,889.15",141,2015-09-14 15:50:00,0
E34,NCP Chlorchem F&V,"",2015-09-14 21:15:00,2015-09-14 21:15:00,"5,352.95",109,2015-09-14 21:25:00,0
E35,NCP Chlorchem F&V,"",2015-09-14 06:45:00,2015-09-14 06:45:00,"1,645.94",54,2015-09-14 07:10:00,0
E35,NCP Chlorchem F&V,"",2015-09-14 13:00:00,2015-09-14 13:00:00,"1,756.49",135,2015-09-14 13:30:00,0
