Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
444054,Tongaat Hulett Starch,"",2015-08-08 01:57:00,2015-08-08 01:57:00,"5,111.41",191,2015-08-08 02:26:00,170
444054,Tongaat Hulett Starch,"",2015-08-08 19:12:00,2015-08-08 19:12:00,"6,441.87",301,2015-08-08 19:30:00,280
444055,Tongaat Hulett Starch,"",2015-08-08 01:02:00,2015-08-08 01:02:00,"6,071.78",345,2015-08-08 01:23:00,230
444055,Tongaat Hulett Starch,"",2015-08-08 21:59:00,2015-08-08 21:59:00,"6,223.81",249,2015-08-08 22:30:00,230
444056,Tongaat Hulett Starch,"",2015-08-08 14:24:00,2015-08-08 14:24:00,"2,475.45",73,2015-08-08 14:38:00,36
444056,Tongaat Hulett Starch,"",2015-08-08 00:43:00,2015-08-08 00:43:00,"5,132.34",180,2015-08-08 00:53:00,170
444057,Tongaat Hulett Starch,"",2015-08-07 22:54:00,2015-08-07 22:54:00,"1,568.96",45,2015-08-08 00:56:00,37
444057,Tongaat Hulett Starch,"",2015-08-08 04:26:00,2015-08-08 04:26:00,"1,221.96",74,2015-08-08 07:10:00,37
444057,Tongaat Hulett Starch,"",2015-08-08 15:26:00,2015-08-08 15:26:00,"2,465.30",47,2015-08-08 18:07:00,36
444057,Tongaat Hulett Starch,"",2015-08-08 22:17:00,2015-08-08 22:17:00,"5,121.07",217,2015-08-08 23:35:00,170
444058,Tongaat Hulett Starch,"",2015-08-08 20:44:00,2015-08-08 20:44:00,"2,569.00",49,2015-08-08 21:12:00,40
444059,Tongaat Hulett Starch,"",2015-08-08 09:00:00,2015-08-08 09:00:00,"2,730.15",77,2015-08-08 09:56:00,50
444059,Tongaat Hulett Starch,"",2015-08-08 14:16:00,2015-08-08 14:16:00,"3,446.94",45,2015-08-08 14:58:00,90
444060,Tongaat Hulett Starch,"",2015-08-08 01:36:00,2015-08-08 01:36:00,"4,750.08",98,2015-08-08 01:56:00,78
444060,Tongaat Hulett Starch,"",2015-08-08 12:21:00,2015-08-08 12:21:00,"3,877.63",144,2015-08-08 12:55:00,110
444061,Tongaat Hulett Starch,"",2015-08-08 01:31:00,2015-08-08 01:31:00,"3,215.70",174,2015-08-08 01:49:00,71
444061,Tongaat Hulett Starch,"",2015-08-08 13:59:00,2015-08-08 13:59:00,"6,178.26",336,2015-08-08 14:15:00,252
444062,Tongaat Hulett Starch,"",2015-08-08 10:23:00,2015-08-08 10:23:00,"4,720.36",75,2015-08-08 10:36:00,161
444062,Tongaat Hulett Starch,"",2015-08-08 21:13:00,2015-08-08 21:13:00,"4,736.20",159,2015-08-08 21:30:00,78
444063,Tongaat Hulett Starch,"",2015-08-08 10:18:00,2015-08-08 10:18:00,"2,580.65",25,2015-08-08 10:48:00,40
444063,Tongaat Hulett Starch,"",2015-08-08 23:23:00,2015-08-08 23:23:00,"10,691.60",617,2015-08-08 23:36:00,530
444065,Tongaat Hulett Starch,"",2015-08-08 00:25:00,2015-08-08 00:25:00,"5,203.20",213,2015-08-08 01:20:00,170
444065,Tongaat Hulett Starch,"",2015-08-08 10:34:00,2015-08-08 10:34:00,"5,066.32",249,2015-08-08 10:42:00,170
444065,Tongaat Hulett Starch,"",2015-08-08 19:55:00,2015-08-08 19:55:00,"5,029.28",178,2015-08-08 20:42:00,170
