Fleet,Trucks
Illovo - Avoca Subcontractors,"ILLOVO SUB 23257,ILLOVO SUB 23287,ILLOVO SUB 23277,ILLOVO SUB 23291,ILLOVO SUB 23299,ILLOVO SUB 23259,ILLOVO SUB 23269,ILLOVO SUB 23279,ILLOVO SUB 23293,ILLOVO SUB 23301,ILLOVO SUB 23261,ILLOVO SUB 23273,ILLOVO SUB 23281,ILLOVO SUB 23295,ILLOVO SUB 23267,ILLOVO SUB 23275,ILLOVO SUB 23285,ILLOVO SUB 23297"
K and R Engineering,"K and R 01,K and R 05,K and R 02,K and R 06,K and R 03,K and R 08,K and R 04"
TAUYA COACH SERVICES,"TK001,TK007,TK018,TK023,TK031,TK041,TK047,TK051,TK055,TK061,TK067,TK071,TK075,TK081,TK085,TK089,TK093,TK003,TK010,TK020,TK026,TK033,TK042,TK048,TK053,TK056,TK062,TK068,TK072,TK078,TK082,TK086,TK090,TK094,TK004,TK011,TK021,TK029,TK035,TK043,TK049,TK057,TK064,TK069,TK073,TK079,TK083,TK087,TK091,TK095,TK006,TK016,TK022,TK030,TK038,TK046,TK050,TK052,TK059,TK065,TK070,TK074,TK080,TK084,TK088,TK092"
PJ Botha,"PJ Botha001,PJ Botha002,PJ Botha003"
Stols Vervoer,"Stols Vervoer001,Stols Vervoer002"
J&S Freighthaul,"J&S Freighthaul001,J&S Freighthaul002,J&S Freighthaul003"
Promar Trucking,"Promar Trucking001,Promar Trucking002,Promar Trucking003"
PLS transport,"PLS transport001,PLS transport002,PLS transport003"
Crossroads Distribution,"Crossroads 001,Crossroads 002,Crossroads 003"
Fruitcargo,"Fruitcargo 001,Fruitcargo 002,Fruitcargo 003"
Interlogix,"Interlogix 001,Interlogix 002,Interlogix 003"
J Clements,"J Clements 001,J Clements 002,J Clements 003"
JBV Logistics,"JBV 001,JBV 002,JBV 003"
Johnsons Transport,"Johnsons 001,Johnsons 002,Johnsons 003"
Kempston,"Kempston 001,Kempston 002,Kempston 003"
Shamtrans - SK Trucking,"Shamtrans 001,Shamtrans 002,Shamtrans 003"
Corredor Transportes,"Corredor Transportes001,Corredor Transportes002,Corredor Transportes003"
Lucerne Transport,Lucerne 01
Budmo,"Budmo 01,Budmo 02,Budmo 03"
FST Transport,"FST Transport001,FST Transport005,FST Transport002,FST Transport003,FST Transport004"
Gaskells,"Gaskells001,Gaskells005,Gaskells002,Gaskells003,Gaskells004"
Motion Electrical,"Motion Electrical001,Motion Electrical005,Motion Electrical002,Motion Electrical003,Motion Electrical004"
Dumbe,"Dumbe001,Dumbe005,Dumbe002,Dumbe003,Dumbe004"
Monteagle Logistics,"MonteagleSub01,MonteagleSub05,MonteagleSub02,MonteagleSub03,MonteagleSub04"
Tri Logistics,"Tri01,Tri05,Tri02,Tri03,Tri04"
Greyling Vervoer,"Greyling01,Greyling05,Greyling02,Greyling03,Greyling04"
WLB Vervoer,"WLB01,WLB05,WLB02,WLB03,WLB04"
Dub Dub Transport,"DDT01,DDT05,DDT02,DDT03,DDT04"
Kaitrucx,"Kaitrucx01,Kaitrucx05,Kaitrucx02,Kaitrucx03,Kaitrucx04"
Sifisa Logistics,"Sifisa01,Sifisa05,Sifisa02,Sifisa03,Sifisa04"
J Marx Vervoer,"JMarx01,JMarx05,JMarx02,JMarx03,JMarx04"
Brink Vervoer,"JHH293GP,Brink04,Brink01,Brink05,Brink02,Brink03"
Impisi Logistics,"Impisi01,Impisi05,Impisi02,Impisi03,Impisi04"
GSS Logistics,"GSS01,GSS05,GSS02,GSS03,GSS04"
Haulier Logistics,"Haulier01,Haulier05,Haulier02,Haulier03,Haulier04"
Infinite Fleet Logistics,"IFT01,IFT05,IFT02,IFT03,IFT04"
OR-V-GAHIM,"OR-V-Gahim 001,OR-V-Gahim 005,OR-V-Gahim 002,OR-V-Gahim 003,OR-V-Gahim 004"
Junior Smith Trucking,"Junior Smith 001,Junior Smith 005,Junior Smith 002,Junior Smith 003,Junior Smith 004"
Rock n Rolla Trucking,"Rock n Rolla 001,Rock n Rolla 005,Rock n Rolla 002,Rock n Rolla 003,Rock n Rolla 004"
4PL Logistics,"4PL Log 001,4PL Log 005,4PL Log 002,4PL Log 003,4PL Log 004"
TFJ Logistics,"TFJ Log 001,TFJ Log 005,TFJ Log 002,TFJ Log 003,TFJ Log 004"
MTL Transport,"MTL Transport 001,MTL Transport 005,MTL Transport 002,MTL Transport 003,MTL Transport 004"
Nyathi Cross Border,"Nyathi 001,Nyathi 005,Nyathi 002,Nyathi 003,Nyathi 004"
Moosas,"Moosas 001,Moosas 005,Moosas 002,Moosas 003,Moosas 004"
SNB Freight,"SNB Freight 001,SNB Freight 005,SNB Freight 002,SNB Freight 003,SNB Freight 004"
Colt Logistics CC,"Colt Log 01,Colt Log 05,Colt Log 02,Colt Log 03,Colt Log 04"
RNS Distribution,"RNS Dist 001,RNS Dist 005,RNS Dist 002,RNS Dist 003,RNS Dist 004"
SG Freight,"SGF01,SGF05,SGF02,SGF03,SGF04"
Aspen Logistics,"Aspen01,Aspen05,Aspen02,Aspen03,Aspen04"
Mutudis Transport,"Mutudis01,Mutudis05,Mutudis02,Mutudis03,Mutudis04"
GF Trucking,"GF Trucking 001,GF Trucking 005,GF Trucking 002,GF Trucking 003,GF Trucking 004"
Megatrans,"Megatrans01,Megatrans05,Megatrans02,Megatrans03,Megatrans04"
Coetzee Transport,"Coetzee Trans 001,Coetzee Trans 005,Coetzee Trans 002,Coetzee Trans 003,Coetzee Trans 004"
HMK Transport,"HMK Trans 001,HMK Trans 004,HMK Trans 002,HMK Trans 003,HMK Trans 005"
LMC Express,"LMC Express 001,LMC Express 005,LMC Express 002,LMC Express 003,LMC Express 004"
Felco Fresh,"Felco Fresh 001,Felco Fresh 005,Felco Fresh 002,Felco Fresh 003,Felco Fresh 004"
Texan Carriers,"Texan Carriers 001,Texan Carriers 005,Texan Carriers 002,Texan Carriers 003,Texan Carriers 004"
Khans Transport,"Khans Trans 001,Khans Trans 005,Khans Trans 002,Khans Trans 003,Khans Trans 004"
Syd Transport,"Syd Trans 001,Syd Trans 005,Syd Trans 002,Syd Trans 003,Syd Trans 004"
KRNSA Logistics,"KRNSA01,KRNSA05,KRNSA02,KRNSA03,KRNSA04"
East Rand Bulk,"ERB01,ERB05,ERB02,ERB03,ERB04"
JG Louws Transport,"JGL01,JGL05,JGL02,JGL03,JGL04"
Bulldog Transport,"Bulldog01,Bulldog05,Bulldog02,Bulldog03,Bulldog04"
HOYLINK,"HOYLINK01,HOYLINK05,HOYLINK02,HOYLINK03,HOYLINK04"
Sabot SA,"Sabot 999,Sabot 977,Sabot 197,Sabot 117,Sabot 229,Sabot 280,Sabot 972,Sabot 120,Sabot 926,Sabot 877,Sabot 158,Sabot 248,Sabot 281,Sabot 996,Sabot 145,Sabot 952,Sabot 851,Sabot 163,Sabot 255,Sabot 927,Sabot 189,Sabot 191,Sabot 105,Sabot 223,Sabot 269,Sabot 955"
CALYPSO CARRIERS,"Calypso 001,Calypso 002,Calypso 003"
Dad Transport,"Dad 001,Dad 002"
JGJ TRANSPORT,"JGJ Trans 001,JGJ Trans 005,JGJ Trans 002,JGJ Trans 006,JGJ Trans 003,JGJ Trans 004"
Transport Brokers,Transport Brokers 001
Logan Freight,Logan Freight 001
SAROD,Sarod 001
SUB SAHARAN TRANSPORT,SUB SAHARAN TRANSPORT 001
Manline Freight-Manline Mega Subbie,"MANLINE FREIGHT 001,MANLINE FREIGHT 005,MANLINE FREIGHT 002,MANLINE FREIGHT 006,MANLINE FREIGHT 003,MANLINE FREIGHT 007,MANLINE FREIGHT 004,MANLINE FREIGHT 008"
Loadmaster,Loadmaster 001
BUREWA,"BWBU01,BWBU02"
PXL FREIGHT,"PXL Freight 001,PXL Freight 002"
SUPERIOR,SUPERIOR 01
RNK LOGISTICS,RNK Logistics 01
Grangold Logistics,"Grangold 001,Grangold 005,Grangold 002,Grangold 006,Grangold 003,Grangold 007,Grangold 004"
NELS TOWING,NELS TOWING 01
AFNET,"AF01,AF05,AF02,AF06,AF03,AF07,AF04"
Kings Africa Logistics,Kings Africa 001
