Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
E094,Easigas (PTY) Ltd,"",2015-09-29 15:00:00,2015-09-29 18:26:00,"5,592.30",0,2015-09-29 19:25:00,0
E079,Easigas (PTY) Ltd,"",2015-09-29 12:00:00,2015-09-28 16:00:00,"6,913.56",80,2015-09-29 15:00:00,80
E080,Easigas (PTY) Ltd,"",2015-09-29 15:00:00,2015-09-29 10:50:00,"5,380.17",0,2015-09-29 23:16:00,0
E095,Easigas (PTY) Ltd,"",2015-09-29 13:00:00,2015-09-29 13:50:00,"6,618.45",194,2015-09-29 18:16:00,80
