Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
332,404478,27238.00,27316.00,-78.00
146,404481,350687.00,351718.00,-1031.00
"","","","",""
116,404585,455097.00,455588.00,-491.00
"","","","",""
84,404674,488774.00,488936.00,-162.00
38,404716,38558.00,38715.00,-157.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
151,405432,44658.00,45384.00,-726.00
85,405488,452886.00,454338.00,-1452.00
97,405494,442113.00,444059.00,-1946.00
267,405495,449136.00,449863.00,-727.00
346,405497,24722.00,24608.00,114.00
"","","","",""
144,405499,393472.00,395272.00,-1800.00
120,405511,435397.00,436324.00,-927.00
97,405608,442618.00,444059.00,-1441.00
"","","","",""
"","","","",""
347,406044,31474.00,31451.00,23.00
348,406047,37002.00,37495.00,-493.00
"","","","",""
337,406282,38238.00,38206.00,32.00
97,406375,444074.00,444059.00,15.00
151,406376,46014.00,46094.00,-80.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
347,406584,31948.00,32672.00,-724.00
"","","","",""
"","","","",""
"","","","",""
146,406827,352864.00,354304.00,-1440.00
116,406834,456682.00,456682.00,0.00
337,406856,38325.00,39278.00,-953.00
151,406859,46526.00,47352.00,-826.00
"","","","",""
"","","","",""
"","","","",""
116,406972,456683.00,456682.00,1.00
"","","","",""
97,407031,446298.00,446332.00,-34.00
85,407037,456584.00,456617.00,-33.00
120,407096,436757.00,436750.00,7.00
332,407098,27410.00,29609.00,-2199.00
"","","","",""
"","","","",""
146,407120,354317.00,354304.00,13.00
149,407143,43298.00,42714.00,584.00
267,407180,450963.00,450939.00,24.00
"","","","",""
86,407570,489902.00,489939.00,-37.00
347,407821,33221.00,32672.00,549.00
346,407846,27490.00,28065.00,-575.00
86,408007,490680.00,492171.00,-1491.00
38,408093,41155.00,41470.00,-315.00
85,408200,457026.00,457519.00,-493.00
328,408257,34209.00,37027.00,-2818.00
"","","","",""
84,408286,491390.00,492848.00,-1458.00
146,408389,355927.00,355873.00,54.00
"","","","",""
38,408608,41735.00,41470.00,265.00
149,408830,44797.00,44785.00,12.00
"","","","",""
347,408905,34290.00,34233.00,57.00
328,409134,35480.00,37027.00,-1547.00
"","","","",""
"","","","",""
151,409409,47822.00,48265.00,-443.00
"","","","",""
348,409467,39320.00,39752.00,-432.00
97,409471,447788.00,449340.00,-1552.00
146,409503,357075.00,357075.00,0.00
"","","","",""
"","","","",""
"","","","",""
84,409607,492835.00,492848.00,-13.00
149,409665,46460.00,47137.00,-677.00
"","","","",""
144,409768,393516.00,395272.00,-1756.00
85,409888,458172.00,458150.00,22.00
149,409931,47105.00,47137.00,-32.00
43,409935,47528.00,48052.00,-524.00
337,409957,39810.00,41333.00,-1523.00
151,409966,48541.00,48482.00,59.00
"","","","",""
"","","","",""
267,410090,453027.00,454442.00,-1415.00
"","","","",""
86,410287,495669.00,495599.00,70.00
84,410364,494417.00,495074.00,-657.00
"","","","",""
149,410638,47978.00,48240.00,-262.00
"","","","",""
348,410696,41388.00,42110.00,-722.00
151,410790,49775.00,51167.00,-1392.00
"","","","",""
43,410980,48638.00,48571.00,67.00
346,411034,30438.00,31016.00,-578.00
"","","","",""
116,411124,459728.00,459710.00,18.00
267,411337,454501.00,456841.00,-2340.00
