Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
E065,1252,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,Yes
E066,1253,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,Yes
E100,30053,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,Yes
E150,30482,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,Yes
E153,9138,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,Yes
E165,30621,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,No
E166,30612,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,Yes
E167,30623,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,Yes
E168,30620,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,Yes
E169,30614,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,Yes
E170,30615,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,Yes
E171,30618,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,Yes
E172,30613,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,No
E173,30611,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,Yes
E174,30624,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,Yes
E175,30826,Energy - Tankers,34.000,201,2015-08-05,"R7,508.06","R2,080.20",403,Yes
E176,30619,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,No
E177,30616,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,Yes
E178,30622,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,Yes
E179,30617,Energy - Total SA Bridging Fleet,40.000,"",2015-08-05,"R7,508.06","R2,080.20",403,Yes
