Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
545235,PPC-Slurry F & V,"",2015-08-03 17:00:00,2015-08-03 17:00:00,"12,023.65",420,2015-08-03 17:33:00,420
545228,PPC-Slurry F & V,"",2015-08-03 16:00:00,2015-08-03 16:00:00,"11,223.63",433,2015-08-03 16:36:00,433
444045,PPC-Slurry F & V,"",2015-08-03 15:00:00,2015-08-03 15:00:00,"12,023.65",420,2015-08-03 15:48:00,420
444048,PPC-Slurry,"",2015-08-03 19:00:00,2015-08-03 19:00:00,"10,227.67",644,2015-08-03 19:41:00,644
444048,PPC-Slurry F & V,"",2015-08-03 10:01:00,2015-08-03 10:01:00,"7,318.67",190,2015-08-03 10:01:00,20
444049,PPC-Slurry F & V,"",2015-08-03 16:00:00,2015-08-03 16:00:00,"11,720.35",390,2015-08-03 16:07:00,390
444047,PPC-Slurry F & V,"",2015-08-03 16:00:00,2015-08-03 16:00:00,"11,223.63",433,2015-08-03 16:17:00,433
444068,PPC-Slurry,"",2015-08-03 16:00:00,2015-08-03 16:00:00,"7,134.75",195,2015-08-03 17:10:00,195
444068,PPC-Slurry F & V,"",2015-08-03 08:30:00,2015-08-03 08:30:00,"7,543.27",210,2015-08-03 08:30:00,20
444067,PPC-Slurry F & V,"",2015-08-03 16:00:00,2015-08-03 16:00:00,"11,720.35",390,2015-08-03 16:29:00,390
SN Matjoko 02,PPC-Slurry F & V,"",2015-08-03 10:00:00,2015-08-03 10:00:00,"9,431.17",420,2015-08-03 10:56:00,414
SN Matjoko 01,PPC-Slurry,"",2015-08-03 17:00:00,2015-08-03 17:00:00,276.02,90,2015-08-03 17:26:00,90
Seitshiro 01,PPC-Slurry,"",2015-08-03 15:00:00,2015-08-03 15:00:00,"4,192.00",254,2015-08-03 15:30:00,254
E39,PPC-Slurry F & V,"",2015-08-03 15:00:00,2015-08-03 15:00:00,"12,023.65",420,2015-08-03 15:06:00,420
