Truck,Loading ETA,Loading Arrival,Tripleg Income,Total Kms
11,2013-04-22 15:00:00,2013-04-22 17:00:00,"23,188.00",1919
31,2013-04-22 07:00:00,2013-04-21 18:55:00,"65,800.00",2910
72,2013-04-21 07:00:00,2013-04-21 07:00:00,"16,800.00",1717
75,2013-04-22 14:00:00,2013-04-22 14:23:00,"42,082.11",2942
90,2013-04-22 14:00:00,2013-04-22 12:00:00,"42,024.96",2954
93,2013-04-27 10:00:00,2013-04-22 08:50:00,"12,480.00",1362
175,2013-04-22 07:00:00,2013-04-20 15:30:00,"65,800.00",2695
198,2013-04-22 07:00:00,2013-04-20 16:32:00,"66,176.00",2728
200,2013-04-22 14:00:00,2013-04-22 12:00:00,"42,316.80",2789
202,2013-04-20 14:00:00,2013-04-22 08:10:00,"12,760.00",1499
209,2013-04-21 08:00:00,2013-04-21 20:00:00,"15,946.88",486
25,2013-04-22 16:00:00,2013-04-22 19:07:00,"48,911.52",2197
269,2013-04-22 07:00:00,2013-04-21 14:00:00,"65,988.00",2665
135,2013-04-19 08:00:00,2013-04-18 21:00:00,"38,080.00",2700
169,2013-04-22 10:00:00,2013-04-22 05:37:00,"1,949.62",77
183,2013-04-22 08:00:00,2013-04-20 19:31:00,"65,800.00",2531
193,2013-04-22 07:00:00,2013-04-21 14:00:00,"9,240.95",439
194,2013-04-22 15:00:00,2013-04-22 16:45:00,"6,000.00",615
191,2013-04-21 08:00:00,2013-04-21 19:25:00,"11,880.00",1845
130,2013-04-22 16:00:00,2013-04-22 17:47:00,"6,000.00",594
6,2013-04-22 10:00:00,2013-04-22 08:50:00,"64,326.00",2597
14,2013-04-22 14:00:00,2013-04-22 11:00:00,"42,073.60",3028
18,2013-04-22 17:00:00,2013-04-22 17:31:00,"6,000.00",626
19,2013-04-19 10:00:00,2013-04-21 19:00:00,"65,800.00",2730
27,2013-04-22 14:00:00,2013-04-22 12:00:00,"42,097.92",2797
