Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
T3001,PPC-Hercules F & V,"",(none),(none),"4,962.31",0,2015-09-25 00:00:00,0
545220,PPC-Hercules F & V,"",(none),(none),"4,962.31",0,2015-09-25 00:00:00,0
545230,PPC-Hercules F & V,"",(none),(none),"4,962.31",0,2015-09-25 00:00:00,0
545229,PPC-Hercules F & V,"",(none),(none),"4,962.31",0,2015-09-25 00:00:00,0
545233,PPC-Hercules F & V,"",(none),(none),"4,962.31",0,2015-09-25 00:00:00,0
