Truck,Date,Income,Contribution,Kms,Blackout Status
144000,2015-02-23,"R15,822.17","R2,847.99",871,Yes
144002,2015-02-23,"R15,822.17","R2,847.99",871,Yes
144003,2015-02-23,"R15,822.17","R2,847.99",871,Yes
444069,2015-02-23,"R8,836.61","R1,590.59",263,Yes
444070,2015-02-23,"R8,836.61","R1,590.59",263,Yes
444071,2015-02-23,"R8,836.61","R1,590.59",263,Yes
444072,2015-02-23,"R8,836.61","R1,590.59",263,Yes
444073,2015-02-23,"R8,836.61","R1,590.59",263,Yes
525201,2015-02-23,"R3,542.63",R637.67,217,No
D550,2015-02-23,"R8,836.61","R1,590.59",263,Yes
